Column1 Column2 Column3
0.211149 -0.077682 0.155554
0.211152 -0.077686 0.155552
0.211156 -0.077686 0.155553
0.211159 -0.077692 0.155550
0.211162 -0.077694 0.155548
0.211165 -0.077695 0.155549
0.211167 -0.077698 0.155547
0.211169 -0.077701 0.155546
0.211171 -0.077702 0.155545
0.211173 -0.077701 0.155545
0.211173 -0.077702 0.155545
0.211173 -0.077702 0.155545
0.211175 -0.077701 0.155546
0.211177 -0.077701 0.155546
0.211178 -0.077699 0.155546
0.211176 -0.077696 0.155548
0.211176 -0.077695 0.155549
0.211176 -0.077685 0.155554
0.211174 -0.077680 0.155556
0.211172 -0.077677 0.155558
0.211173 -0.077667 0.155563
0.211172 -0.077663 0.155565
0.211169 -0.077654 0.155570
0.211169 -0.077650 0.155572
0.211167 -0.077645 0.155576
0.211167 -0.077638 0.155578
0.211165 -0.077635 0.155580
0.211165 -0.077634 0.155581
0.211167 -0.077634 0.155582
0.211168 -0.077632 0.155581
0.211169 -0.077631 0.155582
0.211169 -0.077631 0.155582
0.211092 -0.077678 0.155563
0.211096 -0.077679 0.155562
0.211101 -0.077675 0.155566
0.211105 -0.077671 0.155571
0.211105 -0.077670 0.155571
0.211105 -0.077668 0.155571
0.211107 -0.077667 0.155572
0.211105 -0.077665 0.155574
0.211103 -0.077663 0.155575
0.211101 -0.077657 0.155575
0.211098 -0.077653 0.155577
0.211098 -0.077652 0.155578
0.211087 -0.077572 0.155614
0.211088 -0.077571 0.155616
0.211089 -0.077570 0.155617
0.211090 -0.077570 0.155616
0.211090 -0.077571 0.155618
0.211093 -0.077569 0.155618
0.211093 -0.077569 0.155618
0.211093 -0.077571 0.155617
0.211093 -0.077569 0.155618
0.211094 -0.077569 0.155618
0.211158 -0.077514 0.155638
0.211158 -0.077515 0.155639
0.211158 -0.077516 0.155638
0.211160 -0.077515 0.155640
0.211160 -0.077514 0.155641
0.211160 -0.077514 0.155641
0.211161 -0.077514 0.155641
0.211161 -0.077515 0.155642
0.211164 -0.077514 0.155644
0.211165 -0.077515 0.155643
0.211165 -0.077515 0.155643
0.211168 -0.077513 0.155645
0.211168 -0.077514 0.155644
0.211168 -0.077511 0.155644
0.211168 -0.077510 0.155645
0.211168 -0.077507 0.155646
0.211166 -0.077506 0.155649
0.211166 -0.077507 0.155649
0.211166 -0.077507 0.155648
0.211166 -0.077508 0.155646
0.211166 -0.077507 0.155648
0.211165 -0.077508 0.155647
0.211165 -0.077508 0.155646
0.211166 -0.077509 0.155646
0.211166 -0.077512 0.155645
0.211168 -0.077512 0.155643
0.211170 -0.077511 0.155644
0.211172 -0.077512 0.155643
0.211173 -0.077512 0.155643
0.211176 -0.077514 0.155642
0.211177 -0.077517 0.155640
0.211180 -0.077517 0.155641
0.211182 -0.077517 0.155640
0.211184 -0.077518 0.155639
0.211185 -0.077560 0.155616
0.211185 -0.077559 0.155615
0.211184 -0.077556 0.155617
0.211184 -0.077554 0.155619
0.211188 -0.077550 0.155623
0.211188 -0.077545 0.155625
0.211191 -0.077543 0.155626
0.211191 -0.077543 0.155626
0.211191 -0.077539 0.155630
0.211192 -0.077537 0.155631
0.211192 -0.077536 0.155631
0.211191 -0.077534 0.155632
0.211192 -0.077531 0.155634
0.211195 -0.077531 0.155633
0.211196 -0.077530 0.155634
0.211197 -0.077529 0.155632
0.211200 -0.077530 0.155631
0.211204 -0.077530 0.155631
0.211208 -0.077529 0.155632
0.211208 -0.077528 0.155632
0.211213 -0.077526 0.155635
0.211226 -0.077525 0.155641
