Column1 Column2 Column3
0.211276 -0.077358 0.155735
0.211276 -0.077358 0.155735
0.211276 -0.077359 0.155735
0.211276 -0.077358 0.155734
0.211276 -0.077359 0.155735
0.211272 -0.077365 0.155736
0.211276 -0.077358 0.155735
0.211276 -0.077358 0.155735
0.211276 -0.077358 0.155735
0.211276 -0.077358 0.155735
0.211276 -0.077358 0.155735
0.211276 -0.077358 0.155735
0.211275 -0.077362 0.155734
0.211276 -0.077358 0.155735
0.211276 -0.077358 0.155735
0.211276 -0.077358 0.155735
0.211274 -0.077379 0.155722
0.211275 -0.077362 0.155733
0.211276 -0.077361 0.155733
0.211276 -0.077360 0.155733
0.211274 -0.077372 0.155727
0.211275 -0.077363 0.155731
0.211276 -0.077358 0.155735
0.211276 -0.077361 0.155733
0.211276 -0.077360 0.155733
0.211273 -0.077380 0.155715
0.211276 -0.077358 0.155735
0.211275 -0.077363 0.155729
0.211275 -0.077363 0.155730
0.211276 -0.077360 0.155731
0.211276 -0.077361 0.155732
0.211275 -0.077363 0.155731
0.211275 -0.077356 0.155741
0.211275 -0.077358 0.155737
0.211274 -0.077357 0.155740
0.211271 -0.077361 0.155739
0.211268 -0.077365 0.155737
0.211275 -0.077358 0.155737
0.211273 -0.077361 0.155734
0.211273 -0.077361 0.155734
0.211271 -0.077363 0.155732
0.211272 -0.077363 0.155732
0.211270 -0.077370 0.155725
0.211269 -0.077370 0.155726
0.211275 -0.077355 0.155738
0.211275 -0.077358 0.155738
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211274 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211274 -0.077360 0.155736
0.211273 -0.077360 0.155735
0.211271 -0.077360 0.155734
0.211274 -0.077360 0.155734
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211276 -0.077358 0.155737
0.211276 -0.077358 0.155737
0.211276 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155736
0.211275 -0.077358 0.155736
0.211272 -0.077362 0.155730
0.211271 -0.077365 0.155726
0.211275 -0.077360 0.155735
0.211275 -0.077359 0.155734
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077360 0.155734
0.211275 -0.077358 0.155737
0.211275 -0.077360 0.155734
0.211274 -0.077360 0.155733
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077359 0.155738
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077357 0.155737
0.211275 -0.077359 0.155737
0.211274 -0.077358 0.155737
0.211275 -0.077358 0.155737
0.211275 -0.077357 0.155735
0.211274 -0.077361 0.155733
0.211274 -0.077360 0.155733
0.211275 -0.077360 0.155735
0.211275 -0.077358 0.155737
0.211275 -0.077360 0.155735
0.211274 -0.077360 0.155735
0.211274 -0.077363 0.155731
0.211274 -0.077363 0.155731
0.211274 -0.077365 0.155730
0.211273 -0.077370 0.155723
0.211273 -0.077370 0.155723
0.211273 -0.077372 0.155721
0.211273 -0.077377 0.155716
0.211274 -0.077365 0.155730
0.211274 -0.077364 0.155729
0.211273 -0.077363 0.155729
0.211272 -0.077361 0.155729
0.211270 -0.077361 0.155728
0.211270 -0.077362 0.155729
0.211268 -0.077364 0.155727
0.211264 -0.077369 0.155725
0.211262 -0.077372 0.155724
0.211256 -0.077384 0.155720
0.211251 -0.077393 0.155718
0.211249 -0.077398 0.155717
0.211241 -0.077416 0.155713
0.211235 -0.077429 0.155711
0.211230 -0.077441 0.155709
0.211224 -0.077454 0.155706
0.211220 -0.077465 0.155704
0.211212 -0.077486 0.155701
0.211208 -0.077496 0.155699
0.211201 -0.077514 0.155696
0.211199 -0.077521 0.155696
0.211190 -0.077540 0.155692
0.211190 -0.077543 0.155692
0.211189 -0.077553 0.155692
0.211181 -0.077573 0.155689
0.211171 -0.077596 0.155685
0.211169 -0.077606 0.155684
0.211164 -0.077619 0.155684
0.211164 -0.077626 0.155684
0.211163 -0.077642 0.155683
0.211161 -0.077663 0.155682
0.211163 -0.077668 0.155682
0.211163 -0.077699 0.155681
0.211165 -0.077716 0.155681
0.211171 -0.077729 0.155682
0.211175 -0.077739 0.155683
0.211189 -0.077752 0.155683
0.211190 -0.077754 0.155683
0.211201 -0.077765 0.155685
0.211210 -0.077770 0.155685
0.211221 -0.077775 0.155686
0.211235 -0.077780 0.155686
0.211251 -0.077783 0.155688
0.211276 -0.077785 0.155688
0.211292 -0.077785 0.155687
0.211310 -0.077785 0.155689
0.211321 -0.077785 0.155689
0.211360 -0.077779 0.155691
0.211370 -0.077774 0.155692
0.211400 -0.077765 0.155688
0.211410 -0.077759 0.155688
0.211435 -0.077748 0.155683
0.211448 -0.077740 0.155682
0.211469 -0.077728 0.155676
0.211481 -0.077720 0.155676
0.211497 -0.077709 0.155670
0.211511 -0.077698 0.155668
0.211526 -0.077690 0.155665
0.211530 -0.077687 0.155664
0.211539 -0.077680 0.155662
0.211548 -0.077671 0.155661
0.211560 -0.077658 0.155658
0.211563 -0.077654 0.155659
0.211567 -0.077649 0.155660
0.211569 -0.077646 0.155660
0.211570 -0.077645 0.155659
0.211570 -0.077641 0.155663
0.211570 -0.077640 0.155663
0.211562 -0.077638 0.155667
0.211556 -0.077638 0.155669
0.211551 -0.077640 0.155672
0.211547 -0.077645 0.155676
0.211540 -0.077651 0.155681
0.211533 -0.077657 0.155686
0.211526 -0.077662 0.155691
0.211518 -0.077668 0.155696
0.211517 -0.077669 0.155699
0.211512 -0.077672 0.155704
0.211497 -0.077688 0.155714
0.211489 -0.077696 0.155723
0.211486 -0.077702 0.155728
0.211485 -0.077705 0.155732
0.211481 -0.077714 0.155740
0.211478 -0.077723 0.155749
0.211476 -0.077732 0.155755
0.211483 -0.077743 0.155766
0.211488 -0.077751 0.155776
0.211499 -0.077761 0.155787
0.211514 -0.077769 0.155797
0.211531 -0.077775 0.155806
0.211563 -0.077786 0.155819
0.211583 -0.077790 0.155826
0.211610 -0.077793 0.155832
0.211647 -0.077797 0.155840
0.211688 -0.077799 0.155845
0.211711 -0.077801 0.155846
0.211763 -0.077802 0.155849
0.211804 -0.077804 0.155850
0.211817 -0.077804 0.155850
0.211862 -0.077807 0.155849
0.211864 -0.077807 0.155849
0.211882 -0.077807 0.155847
0.211896 -0.077805 0.155846
0.211914 -0.077802 0.155843
0.211918 -0.077801 0.155842
0.211935 -0.077799 0.155840
0.211949 -0.077798 0.155836
0.211959 -0.077796 0.155834
0.211971 -0.077795 0.155830
0.211972 -0.077792 0.155831
0.211976 -0.077790 0.155831
0.211981 -0.077788 0.155829
0.211978 -0.077786 0.155831
0.211973 -0.077783 0.155832
0.211965 -0.077781 0.155834
0.211963 -0.077781 0.155834
0.211944 -0.077778 0.155839
0.211943 -0.077778 0.155839
0.211929 -0.077778 0.155841
0.211914 -0.077778 0.155844
0.211899 -0.077777 0.155848
0.211888 -0.077777 0.155850
0.211880 -0.077777 0.155852
0.211857 -0.077779 0.155861
0.211843 -0.077781 0.155868
0.211830 -0.077784 0.155873
0.211821 -0.077783 0.155877
0.211812 -0.077785 0.155885
0.211805 -0.077784 0.155889
0.211808 -0.077787 0.155892
0.211802 -0.077788 0.155897
0.211800 -0.077789 0.155902
0.211803 -0.077792 0.155909
0.211811 -0.077793 0.155909
0.211816 -0.077793 0.155914
0.211827 -0.077794 0.155919
0.211838 -0.077794 0.155924
0.211849 -0.077796 0.155924
0.211867 -0.077796 0.155927
0.211884 -0.077796 0.155929
0.211917 -0.077798 0.155933
0.211927 -0.077799 0.155933
0.211941 -0.077799 0.155935
0.211978 -0.077800 0.155937
0.212015 -0.077800 0.155938
0.212051 -0.077800 0.155939
0.212085 -0.077800 0.155940
0.212101 -0.077801 0.155940
0.212122 -0.077801 0.155940
0.212164 -0.077802 0.155940
0.212198 -0.077801 0.155940
0.212221 -0.077800 0.155940
0.212221 -0.077800 0.155940
0.212252 -0.077800 0.155940
0.212281 -0.077801 0.155941
0.212288 -0.077801 0.155941
0.212318 -0.077804 0.155942
0.212343 -0.077805 0.155943
0.212362 -0.077806 0.155942
0.212366 -0.077806 0.155944
0.212382 -0.077808 0.155944
0.212392 -0.077808 0.155944
0.212389 -0.077808 0.155945
0.212384 -0.077808 0.155945
0.212388 -0.077810 0.155945
0.212377 -0.077809 0.155946
0.212353 -0.077810 0.155948
0.212351 -0.077809 0.155948
0.212317 -0.077808 0.155952
0.212289 -0.077808 0.155955
0.212278 -0.077809 0.155956
0.212232 -0.077807 0.155962
0.212199 -0.077805 0.155967
0.212178 -0.077803 0.155970
0.212157 -0.077803 0.155973
0.212124 -0.077800 0.155977
0.212117 -0.077800 0.155978
0.212104 -0.077798 0.155980
0.212057 -0.077794 0.155987
0.211971 -0.077782 0.155998
0.211937 -0.077780 0.156003
0.211930 -0.077777 0.156004
0.211883 -0.077769 0.156012
0.211883 -0.077768 0.156013
0.211868 -0.077764 0.156016
0.211850 -0.077757 0.156022
0.211841 -0.077754 0.156025
0.211842 -0.077751 0.156027
0.211848 -0.077746 0.156031
0.211856 -0.077744 0.156033
0.211864 -0.077742 0.156036
0.211879 -0.077738 0.156037
0.211894 -0.077737 0.156040
0.211916 -0.077736 0.156043
0.211937 -0.077735 0.156046
0.211970 -0.077734 0.156048
0.211998 -0.077733 0.156049
0.212033 -0.077735 0.156052
0.212075 -0.077737 0.156055
0.212144 -0.077742 0.156061
0.212191 -0.077746 0.156064
0.212262 -0.077755 0.156072
0.212293 -0.077758 0.156073
0.212381 -0.077777 0.156083
0.212448 -0.077794 0.156088
0.212496 -0.077811 0.156092
0.212549 -0.077832 0.156098
0.212595 -0.077855 0.156103
0.212628 -0.077875 0.156107
0.212650 -0.077888 0.156109
0.212676 -0.077919 0.156114
0.212693 -0.077943 0.156119
0.212700 -0.077964 0.156123
0.212693 -0.077977 0.156124
0.212688 -0.078008 0.156133
0.212668 -0.078026 0.156139
0.212638 -0.078042 0.156146
0.212600 -0.078058 0.156155
0.212558 -0.078076 0.156166
0.212524 -0.078083 0.156172
0.212462 -0.078096 0.156184
0.212395 -0.078103 0.156199
0.212316 -0.078111 0.156224
0.212265 -0.078113 0.156240
0.212209 -0.078109 0.156261
0.212155 -0.078105 0.156280
0.212113 -0.078096 0.156294
0.212075 -0.078082 0.156309
0.212047 -0.078068 0.156323
0.212032 -0.078053 0.156334
0.212028 -0.078035 0.156343
0.212038 -0.078017 0.156350
0.212051 -0.077998 0.156353
0.212074 -0.077989 0.156353
0.212115 -0.077973 0.156356
0.212167 -0.077960 0.156352
0.212216 -0.077950 0.156350
0.212276 -0.077945 0.156344
0.212360 -0.077936 0.156337
0.212441 -0.077932 0.156332
0.212511 -0.077935 0.156326
0.212592 -0.077940 0.156319
0.212614 -0.077942 0.156317
0.212738 -0.077959 0.156310
0.212786 -0.077970 0.156307
0.212866 -0.077992 0.156307
0.212874 -0.077994 0.156307
0.212949 -0.078028 0.156311
0.212975 -0.078045 0.156313
0.212993 -0.078058 0.156317
0.213023 -0.078090 0.156328
0.213027 -0.078100 0.156332
0.213030 -0.078133 0.156349
0.213019 -0.078148 0.156359
0.212996 -0.078153 0.156365
0.212954 -0.078169 0.156381
0.212920 -0.078172 0.156388
0.212861 -0.078181 0.156402
0.212836 -0.078183 0.156409
0.212749 -0.078176 0.156422
0.212699 -0.078166 0.156431
0.212635 -0.078147 0.156443
0.212577 -0.078127 0.156452
0.212527 -0.078108 0.156462
0.212467 -0.078079 0.156471
0.212434 -0.078056 0.156477
0.212399 -0.078030 0.156483
0.212347 -0.077979 0.156497
0.212311 -0.077928 0.156509
0.212298 -0.077891 0.156519
0.212296 -0.077855 0.156531
0.212295 -0.077830 0.156534
0.212316 -0.077794 0.156545
0.212327 -0.077775 0.156547
0.212385 -0.077752 0.156560
0.212409 -0.077741 0.156562
0.212496 -0.077729 0.156572
0.212559 -0.077725 0.156578
0.212612 -0.077727 0.156584
0.212684 -0.077737 0.156596
0.212750 -0.077755 0.156607
0.212823 -0.077783 0.156622
0.212894 -0.077815 0.156638
0.212960 -0.077854 0.156655
0.213009 -0.077895 0.156670
0.213052 -0.077936 0.156682
0.213062 -0.077950 0.156685
0.213074 -0.077962 0.156687
0.213101 -0.077996 0.156693
0.213114 -0.078020 0.156697
0.213125 -0.078061 0.156705
0.213133 -0.078088 0.156708
0.213140 -0.078116 0.156712
0.213144 -0.078139 0.156715
0.213128 -0.078173 0.156724
0.213120 -0.078212 0.156734
0.213109 -0.078233 0.156741
0.213093 -0.078252 0.156747
0.213068 -0.078275 0.156757
0.213033 -0.078297 0.156767
0.213014 -0.078305 0.156771
0.212984 -0.078320 0.156778
0.212954 -0.078327 0.156783
0.212907 -0.078350 0.156795
0.212878 -0.078363 0.156804
0.212855 -0.078372 0.156811
0.212836 -0.078377 0.156813
0.212771 -0.078399 0.156826
0.212723 -0.078409 0.156837
0.212682 -0.078415 0.156846
0.212671 -0.078417 0.156846
0.212629 -0.078419 0.156854
0.212591 -0.078416 0.156863
0.212549 -0.078409 0.156872
0.212549 -0.078409 0.156872
0.212514 -0.078398 0.156879
0.212486 -0.078386 0.156888
0.212456 -0.078367 0.156895
0.212460 -0.078364 0.156897
0.212446 -0.078345 0.156903
0.212443 -0.078322 0.156908
0.212443 -0.078322 0.156908
0.212437 -0.078303 0.156910
0.212465 -0.078273 0.156916
0.212478 -0.078248 0.156919
0.212474 -0.078222 0.156919
0.212481 -0.078193 0.156919
0.212546 -0.078169 0.156923
0.212594 -0.078154 0.156925
0.212627 -0.078145 0.156925
0.212665 -0.078132 0.156926
0.212687 -0.078123 0.156925
0.212740 -0.078118 0.156925
0.212793 -0.078104 0.156924
0.212829 -0.078098 0.156923
0.212869 -0.078096 0.156922
0.212883 -0.078095 0.156921
0.212925 -0.078095 0.156920
0.212953 -0.078096 0.156920
0.213007 -0.078103 0.156921
0.213068 -0.078117 0.156923
0.213101 -0.078130 0.156926
0.213159 -0.078151 0.156930
