Column1 Column2 Column3
0.193135 -0.107766 0.103272
0.193135 -0.107767 0.103272
0.193135 -0.107767 0.103273
0.193135 -0.107768 0.103272
0.193135 -0.107768 0.103270
0.193135 -0.107768 0.103270
0.193135 -0.107768 0.103270
0.193135 -0.107769 0.103270
0.193135 -0.107769 0.103270
0.193135 -0.107768 0.103270
0.193133 -0.107768 0.103270
0.193130 -0.107770 0.103268
0.193129 -0.107777 0.103268
0.193127 -0.107773 0.103265
0.193126 -0.107772 0.103263
0.193121 -0.107767 0.103257
0.193114 -0.107760 0.103251
0.193109 -0.107754 0.103244
0.193101 -0.107741 0.103234
0.193093 -0.107735 0.103227
0.193088 -0.107726 0.103221
0.193082 -0.107719 0.103216
0.193075 -0.107711 0.103208
0.193069 -0.107698 0.103203
0.193062 -0.107686 0.103198
0.193055 -0.107674 0.103197
0.193047 -0.107661 0.103195
0.193038 -0.107649 0.103197
0.193029 -0.107638 0.103200
0.193024 -0.107631 0.103204
0.193022 -0.107627 0.103206
0.193015 -0.107616 0.103211
0.193008 -0.107611 0.103219
0.192999 -0.107607 0.103232
0.192989 -0.107603 0.103246
0.192980 -0.107600 0.103258
0.192966 -0.107598 0.103280
0.192956 -0.107598 0.103297
0.192945 -0.107598 0.103315
0.192934 -0.107601 0.103336
0.192926 -0.107601 0.103351
0.192915 -0.107604 0.103371
0.192911 -0.107604 0.103376
0.192901 -0.107611 0.103401
0.192895 -0.107617 0.103417
0.192888 -0.107625 0.103440
0.192885 -0.107632 0.103453
0.192883 -0.107639 0.103466
0.192881 -0.107647 0.103481
0.192879 -0.107655 0.103494
0.192881 -0.107659 0.103503
0.192883 -0.107663 0.103508
0.192884 -0.107669 0.103518
0.192885 -0.107674 0.103527
0.192886 -0.107676 0.103531
0.192890 -0.107683 0.103543
0.192893 -0.107691 0.103555
0.192894 -0.107694 0.103561
0.192896 -0.107697 0.103567
0.192899 -0.107698 0.103572
0.192903 -0.107698 0.103577
0.192907 -0.107697 0.103581
0.192909 -0.107694 0.103583
0.192911 -0.107689 0.103585
0.192916 -0.107684 0.103588
0.192918 -0.107675 0.103590
0.192921 -0.107666 0.103591
0.192925 -0.107655 0.103592
0.192925 -0.107645 0.103595
0.192927 -0.107635 0.103597
0.192923 -0.107626 0.103601
0.192915 -0.107617 0.103605
0.192904 -0.107606 0.103612
0.192893 -0.107599 0.103618
0.192880 -0.107589 0.103626
0.192868 -0.107580 0.103632
0.192856 -0.107572 0.103642
0.192841 -0.107566 0.103655
0.192828 -0.107563 0.103668
0.192813 -0.107559 0.103681
