Column1 Column2 Column3
0.185278 -0.084271 0.123853
0.185278 -0.084271 0.123853
0.185278 -0.084271 0.123854
0.185278 -0.084272 0.123854
0.185278 -0.084272 0.123854
0.185278 -0.084272 0.123854
0.185282 -0.084268 0.123857
0.185283 -0.084267 0.123855
0.185283 -0.084267 0.123855
0.185283 -0.084267 0.123855
0.185283 -0.084268 0.123855
0.185283 -0.084266 0.123855
0.185283 -0.084266 0.123855
0.185284 -0.084266 0.123855
0.185283 -0.084267 0.123856
0.185283 -0.084266 0.123855
0.185283 -0.084266 0.123855
0.185283 -0.084266 0.123855
0.185284 -0.084268 0.123856
0.185284 -0.084268 0.123854
0.185284 -0.084266 0.123851
0.185286 -0.084263 0.123841
0.185291 -0.084262 0.123830
0.185303 -0.084259 0.123818
0.185315 -0.084250 0.123791
0.185320 -0.084248 0.123767
0.185317 -0.084244 0.123738
0.185305 -0.084242 0.123716
0.185300 -0.084242 0.123708
0.185294 -0.084243 0.123700
0.185266 -0.084243 0.123676
0.185260 -0.084242 0.123672
0.185227 -0.084244 0.123654
0.185197 -0.084244 0.123644
0.185165 -0.084245 0.123636
0.185137 -0.084244 0.123634
0.185110 -0.084242 0.123635
0.185084 -0.084240 0.123640
0.185063 -0.084240 0.123648
0.185043 -0.084238 0.123658
0.185031 -0.084239 0.123669
0.185022 -0.084241 0.123683
0.185014 -0.084241 0.123694
0.185007 -0.084242 0.123704
0.185002 -0.084241 0.123713
0.185000 -0.084239 0.123721
0.185004 -0.084237 0.123726
0.185009 -0.084235 0.123731
0.185021 -0.084229 0.123732
0.185033 -0.084221 0.123730
0.185036 -0.084221 0.123731
0.185042 -0.084218 0.123731
0.185050 -0.084214 0.123729
0.185058 -0.084210 0.123727
0.185067 -0.084203 0.123722
0.185075 -0.084194 0.123717
0.185079 -0.084188 0.123713
0.185085 -0.084181 0.123708
0.185089 -0.084173 0.123704
0.185092 -0.084167 0.123700
0.185094 -0.084162 0.123697
0.185094 -0.084158 0.123695
0.185094 -0.084152 0.123691
0.185089 -0.084144 0.123684
0.185088 -0.084142 0.123683
0.185070 -0.084131 0.123674
0.185057 -0.084124 0.123670
0.185039 -0.084118 0.123669
0.185016 -0.084107 0.123665
0.184996 -0.084099 0.123664
0.184970 -0.084090 0.123664
0.184956 -0.084085 0.123665
0.184925 -0.084075 0.123668
0.184909 -0.084071 0.123673
0.184874 -0.084058 0.123678
0.184853 -0.084053 0.123684
0.184836 -0.084048 0.123687
0.184819 -0.084040 0.123692
0.184798 -0.084035 0.123700
0.184781 -0.084033 0.123708
0.184768 -0.084031 0.123715
0.184760 -0.084033 0.123724
0.184757 -0.084034 0.123730
0.184758 -0.084043 0.123739
0.184772 -0.084052 0.123747
0.184793 -0.084064 0.123752
0.184820 -0.084081 0.123758
0.184851 -0.084101 0.123761
0.184887 -0.084120 0.123762
0.184917 -0.084136 0.123761
0.184951 -0.084160 0.123764
0.184965 -0.084167 0.123765
0.184978 -0.084176 0.123766
0.184996 -0.084191 0.123765
0.185010 -0.084203 0.123762
0.185018 -0.084219 0.123761
0.185022 -0.084229 0.123759
0.185017 -0.084233 0.123756
0.185010 -0.084237 0.123755
0.184990 -0.084239 0.123753
0.184984 -0.084239 0.123752
0.184946 -0.084229 0.123745
0.184918 -0.084220 0.123741
0.184883 -0.084207 0.123739
0.184858 -0.084195 0.123737
0.184806 -0.084168 0.123735
0.184766 -0.084145 0.123735
0.184739 -0.084126 0.123735
0.184685 -0.084089 0.123735
0.184649 -0.084062 0.123734
0.184626 -0.084040 0.123734
0.184595 -0.084013 0.123732
0.184570 -0.083984 0.123732
0.184535 -0.083953 0.123730
0.184513 -0.083908 0.123731
0.184489 -0.083869 0.123725
0.184486 -0.083846 0.123726
0.184478 -0.083812 0.123723
0.184480 -0.083786 0.123720
0.184492 -0.083771 0.123722
0.184510 -0.083759 0.123718
0.184549 -0.083744 0.123719
0.184588 -0.083739 0.123717
0.184610 -0.083742 0.123714
0.184664 -0.083744 0.123718
0.184733 -0.083762 0.123715
0.184801 -0.083791 0.123718
0.184868 -0.083825 0.123719
0.184947 -0.083873 0.123718
0.185006 -0.083915 0.123714
0.185055 -0.083956 0.123710
0.185091 -0.083992 0.123708
0.185123 -0.084029 0.123704
0.185139 -0.084070 0.123702
0.185136 -0.084092 0.123702
0.185119 -0.084128 0.123706
0.185083 -0.084142 0.123707
0.185041 -0.084147 0.123712
0.184997 -0.084153 0.123717
0.184923 -0.084146 0.123724
0.184888 -0.084132 0.123729
0.184792 -0.084108 0.123736
0.184715 -0.084080 0.123745
0.184641 -0.084044 0.123753
0.184591 -0.084013 0.123758
0.184504 -0.083958 0.123766
0.184439 -0.083903 0.123772
0.184408 -0.083871 0.123774
0.184323 -0.083773 0.123780
0.184265 -0.083688 0.123783
0.184212 -0.083592 0.123782
0.184175 -0.083505 0.123780
0.184154 -0.083428 0.123780
0.184148 -0.083357 0.123780
0.184165 -0.083308 0.123781
0.184208 -0.083268 0.123783
0.184270 -0.083256 0.123788
0.184360 -0.083267 0.123800
0.184426 -0.083297 0.123811
0.184562 -0.083370 0.123829
0.184637 -0.083411 0.123831
0.184727 -0.083459 0.123820
0.184781 -0.083488 0.123808
0.184884 -0.083543 0.123778
0.184926 -0.083578 0.123766
0.185031 -0.083679 0.123731
0.185112 -0.083769 0.123709
0.185190 -0.083862 0.123688
0.185255 -0.083952 0.123662
0.185304 -0.084025 0.123631
0.185335 -0.084079 0.123598
0.185347 -0.084118 0.123574
0.185337 -0.084155 0.123563
0.185305 -0.084198 0.123570
0.185247 -0.084232 0.123588
0.185210 -0.084240 0.123597
0.185110 -0.084228 0.123629
0.185069 -0.084211 0.123649
0.184970 -0.084173 0.123681
0.184914 -0.084134 0.123703
0.184798 -0.084054 0.123749
0.184719 -0.083978 0.123784
0.184651 -0.083899 0.123813
0.184583 -0.083800 0.123842
0.184550 -0.083742 0.123855
0.184470 -0.083589 0.123891
0.184412 -0.083475 0.123912
0.184351 -0.083350 0.123929
0.184279 -0.083177 0.123951
0.184232 -0.083043 0.123966
0.184201 -0.082935 0.123979
0.184172 -0.082824 0.123994
0.184147 -0.082725 0.124011
0.184135 -0.082636 0.124029
0.184134 -0.082556 0.124052
0.184144 -0.082499 0.124078
0.184165 -0.082466 0.124104
0.184189 -0.082458 0.124135
0.184260 -0.082467 0.124205
0.184327 -0.082468 0.124239
0.184402 -0.082444 0.124244
0.184470 -0.082425 0.124241
0.184530 -0.082429 0.124245
0.184632 -0.082442 0.124255
0.184664 -0.082449 0.124262
0.184664 -0.082449 0.124262
0.184797 -0.082522 0.124283
0.184844 -0.082558 0.124288
0.184892 -0.082602 0.124298
0.184939 -0.082658 0.124302
0.185022 -0.082766 0.124317
0.185111 -0.082901 0.124335
0.185174 -0.083000 0.124341
0.185219 -0.083073 0.124338
0.185282 -0.083180 0.124312
0.185320 -0.083242 0.124279
0.185336 -0.083276 0.124255
0.185368 -0.083347 0.124222
0.185385 -0.083441 0.124225
0.185389 -0.083505 0.124238
0.185367 -0.083645 0.124276
0.185344 -0.083739 0.124299
0.185311 -0.083809 0.124319
0.185291 -0.083841 0.124329
0.185257 -0.083876 0.124347
0.185233 -0.083898 0.124356
0.185172 -0.083940 0.124377
0.185096 -0.083970 0.124400
0.184987 -0.083990 0.124424
0.184878 -0.083977 0.124457
0.184782 -0.083947 0.124484
0.184753 -0.083932 0.124490
0.184700 -0.083903 0.124509
0.184604 -0.083824 0.124531
0.184531 -0.083743 0.124561
0.184475 -0.083667 0.124584
0.184415 -0.083562 0.124605
0.184367 -0.083463 0.124621
0.184304 -0.083330 0.124648
0.184264 -0.083209 0.124668
0.184219 -0.083042 0.124697
0.184194 -0.082921 0.124716
0.184172 -0.082800 0.124734
0.184157 -0.082682 0.124751
0.184133 -0.082485 0.124782
0.184130 -0.082363 0.124801
0.184147 -0.082192 0.124833
0.184192 -0.081999 0.124884
0.184257 -0.081879 0.124942
0.184320 -0.081808 0.125001
0.184325 -0.081799 0.125005
0.184469 -0.081703 0.125099
0.184558 -0.081658 0.125133
0.184618 -0.081633 0.125159
0.184662 -0.081635 0.125176
0.184751 -0.081619 0.125203
0.184835 -0.081619 0.125229
0.184933 -0.081659 0.125255
0.184953 -0.081671 0.125268
0.185036 -0.081740 0.125287
0.185089 -0.081814 0.125307
0.185109 -0.081849 0.125316
0.185157 -0.081947 0.125329
0.185184 -0.082017 0.125338
0.185212 -0.082113 0.125340
0.185229 -0.082208 0.125335
0.185236 -0.082294 0.125325
0.185236 -0.082422 0.125277
0.185221 -0.082520 0.125240
0.185187 -0.082641 0.125218
0.185153 -0.082754 0.125210
0.185099 -0.082889 0.125209
0.185035 -0.083012 0.125210
0.184973 -0.083105 0.125211
0.184931 -0.083160 0.125214
0.184886 -0.083213 0.125213
0.184815 -0.083289 0.125207
0.184694 -0.083382 0.125200
0.184561 -0.083458 0.125201
0.184485 -0.083492 0.125202
0.184419 -0.083521 0.125201
0.184309 -0.083537 0.125203
0.184258 -0.083552 0.125200
0.184139 -0.083537 0.125207
0.184048 -0.083511 0.125206
0.183941 -0.083458 0.125213
0.183851 -0.083372 0.125217
0.183787 -0.083283 0.125220
0.183716 -0.083129 0.125231
0.183684 -0.082998 0.125241
0.183655 -0.082801 0.125268
0.183663 -0.082609 0.125294
0.183696 -0.082410 0.125328
0.183752 -0.082174 0.125378
0.183820 -0.081986 0.125420
0.183895 -0.081827 0.125461
0.183996 -0.081659 0.125505
0.184088 -0.081533 0.125543
0.184131 -0.081480 0.125562
0.184166 -0.081451 0.125573
0.184295 -0.081337 0.125623
0.184370 -0.081287 0.125650
0.184419 -0.081256 0.125672
0.184474 -0.081237 0.125692
0.184502 -0.081218 0.125712
0.184589 -0.081218 0.125737
0.184628 -0.081217 0.125754
0.184669 -0.081205 0.125783
0.184688 -0.081201 0.125797
0.184753 -0.081233 0.125816
0.184829 -0.081299 0.125832
0.184851 -0.081337 0.125831
0.184892 -0.081388 0.125851
0.184908 -0.081433 0.125854
0.184917 -0.081483 0.125847
0.184923 -0.081564 0.125850
0.184917 -0.081607 0.125851
0.184903 -0.081715 0.125832
0.184871 -0.081809 0.125815
0.184825 -0.081912 0.125793
0.184782 -0.081987 0.125776
0.184711 -0.082092 0.125750
0.184635 -0.082187 0.125724
0.184558 -0.082278 0.125702
0.184475 -0.082360 0.125680
0.184386 -0.082439 0.125657
0.184277 -0.082519 0.125635
0.184188 -0.082571 0.125617
0.184103 -0.082613 0.125600
0.183977 -0.082654 0.125573
0.183849 -0.082658 0.125544
0.183734 -0.082637 0.125514
0.183643 -0.082606 0.125484
0.183561 -0.082534 0.125453
0.183492 -0.082438 0.125428
0.183446 -0.082312 0.125405
0.183428 -0.082192 0.125387
0.183436 -0.082051 0.125376
0.183455 -0.081923 0.125376
0.183492 -0.081802 0.125381
0.183516 -0.081725 0.125396
0.183601 -0.081542 0.125405
0.183633 -0.081459 0.125399
0.183703 -0.081307 0.125388
0.183783 -0.081150 0.125384
0.183912 -0.080928 0.125393
0.184001 -0.080772 0.125394
0.184090 -0.080625 0.125394
0.184182 -0.080481 0.125389
0.184265 -0.080353 0.125381
0.184338 -0.080236 0.125369
0.184401 -0.080141 0.125351
0.184458 -0.080045 0.125339
0.184524 -0.079966 0.125310
0.184576 -0.079892 0.125288
0.184621 -0.079838 0.125261
0.184661 -0.079797 0.125231
0.184687 -0.079762 0.125199
0.184691 -0.079734 0.125169
0.184691 -0.079716 0.125132
0.184677 -0.079708 0.125095
0.184642 -0.079707 0.125057
0.184606 -0.079713 0.125019
0.184563 -0.079720 0.124981
0.184489 -0.079739 0.124930
0.184414 -0.079764 0.124885
0.184332 -0.079795 0.124836
0.184253 -0.079831 0.124796
0.184159 -0.079878 0.124737
0.184064 -0.079934 0.124681
0.183980 -0.079987 0.124630
0.183933 -0.080012 0.124594
0.183800 -0.080120 0.124509
0.183723 -0.080177 0.124446
0.183654 -0.080232 0.124383
0.183589 -0.080276 0.124320
0.183547 -0.080294 0.124279
0.183468 -0.080350 0.124200
0.183420 -0.080376 0.124139
0.183385 -0.080394 0.124085
0.183361 -0.080400 0.124036
0.183350 -0.080392 0.124010
0.183340 -0.080388 0.123972
0.183337 -0.080376 0.123936
0.183345 -0.080350 0.123898
0.183363 -0.080315 0.123863
0.183396 -0.080268 0.123834
0.183439 -0.080220 0.123810
0.183522 -0.080129 0.123777
0.183587 -0.080054 0.123760
0.183657 -0.079972 0.123748
0.183729 -0.079889 0.123744
0.183811 -0.079794 0.123740
0.183891 -0.079702 0.123742
0.183979 -0.079599 0.123743
0.184056 -0.079506 0.123750
0.184123 -0.079417 0.123753
0.184201 -0.079298 0.123758
0.184260 -0.079214 0.123767
0.184329 -0.079102 0.123773
0.184366 -0.079056 0.123783
0.184427 -0.078958 0.123790
0.184501 -0.078798 0.123795
0.184537 -0.078716 0.123803
0.184568 -0.078640 0.123811
0.184588 -0.078584 0.123818
0.184599 -0.078532 0.123826
0.184601 -0.078491 0.123833
0.184594 -0.078463 0.123837
0.184581 -0.078456 0.123838
0.184554 -0.078453 0.123839
0.184524 -0.078471 0.123834
0.184479 -0.078493 0.123834
0.184429 -0.078535 0.123828
0.184356 -0.078592 0.123819
0.184294 -0.078645 0.123809
0.184217 -0.078705 0.123788
0.184134 -0.078770 0.123766
0.184058 -0.078831 0.123740
0.183967 -0.078906 0.123705
0.183885 -0.078983 0.123666
0.183817 -0.079050 0.123631
0.183739 -0.079142 0.123584
0.183691 -0.079217 0.123553
0.183641 -0.079311 0.123510
0.183599 -0.079398 0.123472
0.183561 -0.079491 0.123435
0.183523 -0.079608 0.123386
0.183501 -0.079714 0.123341
0.183501 -0.079791 0.123304
0.183515 -0.079858 0.123267
0.183548 -0.079904 0.123233
0.183606 -0.079933 0.123208
0.183686 -0.079949 0.123190
0.183779 -0.079940 0.123171
0.183878 -0.079911 0.123157
0.183992 -0.079862 0.123139
0.184116 -0.079797 0.123121
0.184238 -0.079716 0.123100
0.184348 -0.079629 0.123078
0.184460 -0.079518 0.123047
0.184562 -0.079394 0.123010
0.184653 -0.079261 0.122967
0.184730 -0.079126 0.122919
0.184802 -0.078988 0.122865
0.184843 -0.078860 0.122808
0.184877 -0.078730 0.122741
0.184900 -0.078600 0.122667
0.184909 -0.078484 0.122589
0.184912 -0.078393 0.122518
0.184908 -0.078307 0.122439
0.184886 -0.078236 0.122357
0.184863 -0.078166 0.122286
0.184821 -0.078041 0.122158
0.184782 -0.077931 0.122049
0.184739 -0.077839 0.121948
0.184671 -0.077735 0.121826
0.184613 -0.077650 0.121726
0.184557 -0.077558 0.121622
0.184501 -0.077485 0.121525
0.184444 -0.077401 0.121414
0.184404 -0.077342 0.121331
0.184386 -0.077327 0.121293
0.184358 -0.077271 0.121224
0.184342 -0.077230 0.121177
0.184331 -0.077228 0.121127
0.184329 -0.077234 0.121107
0.184315 -0.077187 0.121045
0.184294 -0.077054 0.120892
0.184307 -0.076980 0.120788
0.184337 -0.076904 0.120686
0.184374 -0.076832 0.120598
0.184431 -0.076746 0.120500
0.184494 -0.076649 0.120404
0.184568 -0.076554 0.120313
0.184663 -0.076434 0.120209
0.184719 -0.076395 0.120172
0.184844 -0.076174 0.120014
0.184957 -0.075998 0.119895
0.185054 -0.075842 0.119795
0.185210 -0.075538 0.119615
0.185327 -0.075252 0.119460
0.185425 -0.074984 0.119319
0.185482 -0.074820 0.119234
0.185534 -0.074709 0.119178
0.185617 -0.074377 0.119010
0.185642 -0.074294 0.118967
0.185645 -0.074277 0.118958
0.185675 -0.074147 0.118893
0.185720 -0.073957 0.118796
0.185784 -0.073662 0.118647
