Column1 Column2 Column3
0.185279 -0.084269 0.123853
0.185279 -0.084269 0.123857
0.185272 -0.084269 0.123861
0.185265 -0.084275 0.123861
0.185264 -0.084274 0.123864
0.185264 -0.084273 0.123866
0.185265 -0.084270 0.123866
0.185265 -0.084263 0.123875
0.185257 -0.084264 0.123879
0.185259 -0.084268 0.123877
0.185259 -0.084265 0.123885
0.185259 -0.084264 0.123885
0.185258 -0.084261 0.123887
0.185258 -0.084258 0.123888
0.185259 -0.084260 0.123888
0.185264 -0.084260 0.123885
0.185264 -0.084260 0.123885
0.185264 -0.084260 0.123885
0.185262 -0.084251 0.123900
0.185262 -0.084248 0.123906
0.185260 -0.084248 0.123922
0.185258 -0.084246 0.123934
0.185262 -0.084248 0.123947
0.185252 -0.084277 0.123952
0.185220 -0.084328 0.123948
0.185178 -0.084393 0.123935
0.185148 -0.084435 0.123922
0.185143 -0.084442 0.123922
0.185130 -0.084451 0.123920
0.185130 -0.084451 0.123920
0.185121 -0.084451 0.123925
0.185116 -0.084441 0.123932
0.185106 -0.084422 0.123939
0.185098 -0.084414 0.123935
0.185097 -0.084414 0.123935
0.185084 -0.084403 0.123937
0.185078 -0.084386 0.123939
0.185094 -0.084350 0.123948
0.185108 -0.084326 0.123954
0.185112 -0.084308 0.123957
0.185106 -0.084306 0.123957
0.185087 -0.084308 0.123959
0.185060 -0.084312 0.123962
0.185011 -0.084311 0.123970
0.184999 -0.084303 0.123978
0.184996 -0.084277 0.124001
0.185000 -0.084262 0.124013
0.185001 -0.084260 0.124016
0.184993 -0.084250 0.124027
0.184993 -0.084250 0.124027
0.184968 -0.084253 0.124030
0.184939 -0.084259 0.124030
0.184939 -0.084259 0.124030
0.184873 -0.084273 0.124030
0.184855 -0.084274 0.124032
0.184842 -0.084271 0.124035
0.184832 -0.084267 0.124040
0.184832 -0.084267 0.124040
0.184823 -0.084258 0.124045
0.184826 -0.084247 0.124049
0.184831 -0.084239 0.124053
0.184836 -0.084233 0.124055
0.184836 -0.084233 0.124055
0.184826 -0.084230 0.124057
0.184797 -0.084235 0.124054
0.184788 -0.084243 0.124046
0.184790 -0.084247 0.124039
0.184801 -0.084249 0.124032
0.184827 -0.084246 0.124027
0.184859 -0.084239 0.124023
0.184900 -0.084232 0.124019
0.184937 -0.084223 0.124014
0.184965 -0.084215 0.124011
0.184985 -0.084208 0.124007
0.184996 -0.084206 0.124003
0.185000 -0.084206 0.123994
0.184999 -0.084210 0.123986
0.185000 -0.084214 0.123968
0.185004 -0.084214 0.123958
0.185008 -0.084212 0.123954
0.185023 -0.084201 0.123952
0.185030 -0.084189 0.123958
0.185031 -0.084175 0.123967
0.185019 -0.084162 0.123973
0.184991 -0.084160 0.123977
0.184982 -0.084160 0.123979
0.184911 -0.084163 0.123981
0.184822 -0.084154 0.123989
0.184775 -0.084144 0.123998
0.184725 -0.084131 0.124010
0.184678 -0.084119 0.124020
0.184645 -0.084110 0.124028
0.184619 -0.084104 0.124035
0.184575 -0.084093 0.124047
0.184551 -0.084084 0.124057
0.184542 -0.084080 0.124062
0.184540 -0.084069 0.124075
0.184548 -0.084065 0.124084
0.184568 -0.084062 0.124093
0.184588 -0.084059 0.124100
0.184613 -0.084059 0.124108
0.184631 -0.084060 0.124113
0.184665 -0.084061 0.124121
0.184705 -0.084066 0.124125
0.184752 -0.084073 0.124126
0.184799 -0.084082 0.124125
0.184844 -0.084092 0.124122
0.184895 -0.084106 0.124118
0.184941 -0.084122 0.124111
0.184974 -0.084137 0.124106
0.185007 -0.084151 0.124101
0.185037 -0.084164 0.124094
0.185063 -0.084176 0.124088
0.185094 -0.084188 0.124080
0.185110 -0.084196 0.124075
0.185121 -0.084200 0.124072
0.185121 -0.084200 0.124069
0.185121 -0.084200 0.124069
0.185121 -0.084200 0.124069
0.185091 -0.084194 0.124061
0.185055 -0.084186 0.124057
0.185017 -0.084174 0.124056
0.184973 -0.084158 0.124056
0.184973 -0.084158 0.124056
0.184870 -0.084121 0.124056
0.184740 -0.084066 0.124053
0.184658 -0.084020 0.124048
0.184571 -0.083964 0.124042
0.184480 -0.083908 0.124039
0.184415 -0.083870 0.124041
0.184343 -0.083831 0.124043
0.184261 -0.083779 0.124047
0.184225 -0.083747 0.124053
0.184207 -0.083721 0.124062
0.184216 -0.083702 0.124071
0.184253 -0.083692 0.124076
0.184324 -0.083690 0.124082
0.184386 -0.083692 0.124089
0.184453 -0.083699 0.124092
0.184531 -0.083712 0.124092
0.184606 -0.083730 0.124091
0.184694 -0.083752 0.124090
0.184802 -0.083785 0.124089
0.184898 -0.083814 0.124084
0.185013 -0.083852 0.124078
0.185029 -0.083858 0.124076
0.185216 -0.083935 0.124062
0.185315 -0.083984 0.124055
0.185386 -0.084030 0.124051
0.185435 -0.084077 0.124044
0.185468 -0.084123 0.124035
0.185470 -0.084144 0.124027
0.185445 -0.084151 0.124014
0.185383 -0.084157 0.124010
0.185308 -0.084148 0.124000
0.185296 -0.084147 0.123997
0.185042 -0.084087 0.123987
0.184923 -0.084050 0.123981
0.184690 -0.083963 0.123981
0.184647 -0.083944 0.123980
0.184498 -0.083880 0.123980
0.184253 -0.083765 0.123991
0.184114 -0.083691 0.124006
0.184094 -0.083681 0.124008
0.183922 -0.083592 0.124034
0.183720 -0.083475 0.124077
0.183607 -0.083375 0.124112
0.183565 -0.083303 0.124139
0.183563 -0.083256 0.124151
0.183596 -0.083172 0.124169
0.183631 -0.083137 0.124178
0.183772 -0.083096 0.124192
0.183880 -0.083091 0.124197
0.184048 -0.083099 0.124196
0.184208 -0.083119 0.124192
0.184412 -0.083159 0.124179
0.184599 -0.083208 0.124164
0.184759 -0.083255 0.124148
0.184793 -0.083266 0.124144
0.185059 -0.083367 0.124112
0.185314 -0.083493 0.124078
0.185472 -0.083592 0.124059
0.185607 -0.083697 0.124047
0.185711 -0.083802 0.124042
0.185782 -0.083895 0.124039
0.185848 -0.084005 0.124035
0.185873 -0.084050 0.124031
0.185938 -0.084183 0.124017
0.185953 -0.084272 0.124002
0.185952 -0.084282 0.123998
0.185940 -0.084330 0.123979
0.185917 -0.084371 0.123966
0.185882 -0.084404 0.123954
0.185830 -0.084415 0.123940
0.185758 -0.084413 0.123927
0.185677 -0.084404 0.123918
0.185584 -0.084388 0.123905
0.185391 -0.084326 0.123883
0.185242 -0.084256 0.123869
0.185104 -0.084185 0.123865
0.184958 -0.084101 0.123860
0.184811 -0.084004 0.123858
0.184657 -0.083894 0.123867
0.184528 -0.083797 0.123882
0.184415 -0.083712 0.123900
0.184215 -0.083556 0.123939
0.184067 -0.083427 0.123976
0.183924 -0.083280 0.124021
0.183838 -0.083175 0.124056
0.183747 -0.083048 0.124102
0.183657 -0.082908 0.124158
0.183591 -0.082790 0.124209
0.183524 -0.082644 0.124279
0.183449 -0.082399 0.124407
0.183445 -0.082359 0.124432
0.183448 -0.082267 0.124490
0.183465 -0.082182 0.124557
0.183493 -0.082118 0.124616
0.183557 -0.082015 0.124728
0.183611 -0.081960 0.124800
0.183695 -0.081902 0.124894
0.183780 -0.081862 0.124970
0.183878 -0.081834 0.125035
0.183981 -0.081820 0.125084
0.184108 -0.081817 0.125132
0.184236 -0.081833 0.125175
0.184377 -0.081862 0.125216
0.184501 -0.081901 0.125247
0.184670 -0.081968 0.125286
0.184815 -0.082046 0.125321
0.184936 -0.082128 0.125349
0.185055 -0.082226 0.125372
0.185186 -0.082358 0.125395
0.185298 -0.082484 0.125406
0.185405 -0.082618 0.125410
0.185490 -0.082734 0.125407
0.185593 -0.082881 0.125390
0.185676 -0.083004 0.125366
0.185770 -0.083167 0.125319
0.185830 -0.083295 0.125270
0.185874 -0.083419 0.125214
0.185902 -0.083540 0.125153
0.185914 -0.083635 0.125101
0.185910 -0.083762 0.125025
0.185887 -0.083858 0.124963
0.185795 -0.084009 0.124826
0.185667 -0.084106 0.124728
0.185489 -0.084148 0.124617
0.185342 -0.084153 0.124545
0.185187 -0.084137 0.124475
0.185031 -0.084100 0.124412
0.184830 -0.084021 0.124348
0.184810 -0.084010 0.124342
0.184681 -0.083943 0.124317
0.184556 -0.083865 0.124300
0.184432 -0.083778 0.124293
0.184311 -0.083681 0.124300
0.184191 -0.083566 0.124322
0.184063 -0.083434 0.124353
0.183936 -0.083300 0.124388
0.183812 -0.083162 0.124430
0.183705 -0.083015 0.124478
0.183617 -0.082862 0.124537
0.183573 -0.082759 0.124582
0.183520 -0.082582 0.124668
0.183497 -0.082425 0.124758
0.183526 -0.082128 0.124967
0.183537 -0.082080 0.125000
0.183580 -0.081942 0.125104
0.183622 -0.081836 0.125208
0.183751 -0.081608 0.125456
0.183849 -0.081489 0.125608
0.183948 -0.081404 0.125736
0.184060 -0.081336 0.125859
0.184171 -0.081291 0.125964
0.184304 -0.081257 0.126076
0.184436 -0.081240 0.126182
0.184565 -0.081235 0.126283
0.184686 -0.081244 0.126377
0.184798 -0.081263 0.126461
0.184905 -0.081294 0.126533
0.185008 -0.081336 0.126595
0.185095 -0.081383 0.126633
0.185201 -0.081447 0.126662
0.185294 -0.081517 0.126676
0.185491 -0.081711 0.126662
0.185616 -0.081969 0.126592
0.185642 -0.082127 0.126536
0.185642 -0.082266 0.126480
0.185614 -0.082515 0.126371
0.185568 -0.082685 0.126284
0.185427 -0.082961 0.126109
0.185331 -0.083091 0.126018
0.185081 -0.083349 0.125789
0.184802 -0.083572 0.125568
0.184624 -0.083681 0.125415
0.184447 -0.083771 0.125263
0.184447 -0.083771 0.125263
0.184425 -0.083782 0.125244
0.184302 -0.083829 0.125138
0.184187 -0.083857 0.125051
0.184068 -0.083873 0.124975
0.183948 -0.083873 0.124905
0.183827 -0.083858 0.124839
0.183827 -0.083858 0.124839
0.183716 -0.083831 0.124784
0.183613 -0.083794 0.124740
0.183563 -0.083771 0.124723
0.183428 -0.083676 0.124687
0.183360 -0.083603 0.124678
0.183292 -0.083506 0.124686
0.183241 -0.083399 0.124706
0.183206 -0.083283 0.124741
0.183189 -0.083183 0.124780
0.183190 -0.083051 0.124835
0.183211 -0.082911 0.124906
0.183247 -0.082768 0.124994
0.183295 -0.082640 0.125081
0.183369 -0.082470 0.125200
0.183449 -0.082325 0.125315
0.183540 -0.082175 0.125434
0.183637 -0.082027 0.125563
0.183744 -0.081885 0.125695
0.183859 -0.081748 0.125828
0.183978 -0.081618 0.125964
0.184080 -0.081515 0.126080
0.184213 -0.081390 0.126231
0.184333 -0.081290 0.126367
0.184580 -0.081127 0.126640
0.184825 -0.081003 0.126900
0.184937 -0.080964 0.127016
0.185031 -0.080939 0.127092
0.185168 -0.080922 0.127176
0.185241 -0.080934 0.127201
0.185272 -0.080963 0.127197
0.185280 -0.081057 0.127136
0.185235 -0.081154 0.127062
0.185227 -0.081165 0.127053
0.185084 -0.081334 0.126907
0.184988 -0.081424 0.126816
0.184784 -0.081614 0.126599
0.184767 -0.081629 0.126580
0.184662 -0.081717 0.126463
0.184547 -0.081801 0.126335
0.184400 -0.081896 0.126171
0.184296 -0.081960 0.126046
0.184022 -0.082117 0.125705
0.183898 -0.082186 0.125546
0.183654 -0.082295 0.125224
0.183635 -0.082301 0.125200
0.183433 -0.082347 0.124907
0.183404 -0.082349 0.124862
0.183328 -0.082351 0.124730
0.183264 -0.082345 0.124610
0.183210 -0.082328 0.124499
0.183166 -0.082295 0.124388
0.183111 -0.082215 0.124238
0.183103 -0.082160 0.124172
0.183108 -0.082100 0.124129
0.183128 -0.082028 0.124094
0.183210 -0.081832 0.124066
0.183218 -0.081813 0.124065
0.183275 -0.081703 0.124074
0.183354 -0.081560 0.124096
0.183431 -0.081431 0.124125
0.183512 -0.081298 0.124167
0.183602 -0.081162 0.124222
0.183602 -0.081162 0.124222
0.183761 -0.080928 0.124324
0.184092 -0.080447 0.124590
0.184213 -0.080259 0.124702
0.184306 -0.080101 0.124799
0.184322 -0.080073 0.124815
0.184492 -0.079758 0.125022
0.184566 -0.079601 0.125132
0.184620 -0.079473 0.125217
0.184636 -0.079432 0.125243
0.184673 -0.079305 0.125321
0.184673 -0.079305 0.125321
0.184731 -0.079082 0.125453
0.184750 -0.078948 0.125521
0.184735 -0.078878 0.125544
0.184728 -0.078863 0.125546
0.184665 -0.078799 0.125535
0.184634 -0.078779 0.125517
0.184622 -0.078774 0.125509
0.184510 -0.078781 0.125420
0.184431 -0.078817 0.125346
0.184355 -0.078858 0.125269
0.184270 -0.078907 0.125181
0.184164 -0.078978 0.125062
0.184149 -0.078990 0.125045
0.183952 -0.079145 0.124817
0.183843 -0.079231 0.124695
0.183705 -0.079341 0.124545
0.183570 -0.079454 0.124390
0.183458 -0.079554 0.124254
0.183332 -0.079667 0.124092
0.183246 -0.079749 0.123971
0.183112 -0.079877 0.123774
0.183029 -0.079971 0.123628
0.183016 -0.079987 0.123604
0.182907 -0.080149 0.123304
0.182888 -0.080180 0.123235
0.182858 -0.080263 0.123017
0.182858 -0.080270 0.122997
0.182921 -0.080331 0.122768
0.182976 -0.080347 0.122684
0.183055 -0.080352 0.122601
0.183140 -0.080341 0.122536
0.183256 -0.080320 0.122488
0.183273 -0.080317 0.122481
0.183385 -0.080285 0.122453
0.183510 -0.080248 0.122443
0.183715 -0.080168 0.122464
0.183861 -0.080097 0.122508
0.184017 -0.080011 0.122571
0.184178 -0.079912 0.122647
0.184201 -0.079898 0.122660
0.184493 -0.079699 0.122824
0.184523 -0.079676 0.122843
0.184764 -0.079476 0.123006
0.184876 -0.079367 0.123100
0.184989 -0.079237 0.123208
0.185075 -0.079124 0.123297
0.185159 -0.078993 0.123400
0.185223 -0.078857 0.123522
0.185258 -0.078714 0.123649
0.185263 -0.078592 0.123776
0.185233 -0.078509 0.123871
0.185162 -0.078439 0.123963
0.185057 -0.078392 0.124034
0.184915 -0.078371 0.124085
0.184769 -0.078373 0.124112
0.184654 -0.078384 0.124118
0.184409 -0.078431 0.124089
0.184211 -0.078500 0.124042
0.184011 -0.078591 0.123964
0.183815 -0.078705 0.123869
0.183629 -0.078829 0.123764
0.183450 -0.078970 0.123650
0.183287 -0.079120 0.123524
0.183137 -0.079270 0.123393
0.183002 -0.079422 0.123257
0.182891 -0.079574 0.123106
0.182805 -0.079715 0.122945
0.182760 -0.079839 0.122778
0.182757 -0.079924 0.122647
0.182777 -0.079985 0.122530
0.182879 -0.080067 0.122267
0.182982 -0.080102 0.122088
0.183104 -0.080121 0.121921
0.183221 -0.080126 0.121780
0.183298 -0.080123 0.121699
0.183529 -0.080094 0.121517
0.183694 -0.080048 0.121408
0.183871 -0.079982 0.121305
0.184064 -0.079898 0.121216
0.184259 -0.079790 0.121134
0.184452 -0.079661 0.121052
0.184602 -0.079554 0.120992
0.184644 -0.079522 0.120975
0.184731 -0.079454 0.120941
0.184837 -0.079366 0.120899
0.184914 -0.079295 0.120867
0.185009 -0.079204 0.120829
0.185097 -0.079109 0.120790
0.185235 -0.078943 0.120728
0.185357 -0.078744 0.120668
0.185413 -0.078607 0.120628
0.185437 -0.078506 0.120599
0.185442 -0.078283 0.120538
0.185415 -0.078127 0.120488
0.185372 -0.077991 0.120437
0.185305 -0.077841 0.120376
0.185226 -0.077712 0.120317
0.185163 -0.077617 0.120269
0.185023 -0.077415 0.120148
0.184923 -0.077283 0.120060
0.184753 -0.077056 0.119901
0.184657 -0.076921 0.119790
0.184549 -0.076793 0.119663
0.184540 -0.076783 0.119653
0.184431 -0.076631 0.119495
0.184387 -0.076541 0.119398
0.184370 -0.076453 0.119305
0.184365 -0.076402 0.119251
0.184362 -0.076320 0.119160
0.184367 -0.076251 0.119085
0.184375 -0.076195 0.119022
0.184389 -0.076124 0.118939
0.184405 -0.076055 0.118854
0.184420 -0.075998 0.118783
0.184420 -0.075998 0.118783
0.184429 -0.075970 0.118746
0.184498 -0.075764 0.118487
0.184519 -0.075711 0.118421
0.184628 -0.075486 0.118153
0.184745 -0.075296 0.117953
0.184893 -0.075085 0.117747
0.185017 -0.074915 0.117586
0.185066 -0.074846 0.117523
0.185170 -0.074698 0.117395
0.185459 -0.074284 0.117074
0.185689 -0.073943 0.116855
0.185814 -0.073746 0.116735
0.185993 -0.073448 0.116546
0.186159 -0.073148 0.116357
0.186330 -0.072810 0.116152
0.186463 -0.072502 0.115969
0.186488 -0.072434 0.115931
0.186573 -0.072192 0.115787
0.186749 -0.071519 0.115399
0.186806 -0.071221 0.115235
0.186853 -0.070855 0.115047
0.186872 -0.070504 0.114872
0.186864 -0.070228 0.114726
0.186840 -0.069952 0.114578
0.186840 -0.069952 0.114578
0.186831 -0.069881 0.114541
0.186755 -0.069382 0.114277
0.186616 -0.068887 0.114035
0.186519 -0.068563 0.113893
0.186467 -0.068351 0.113799
0.186402 -0.068038 0.113654
0.186357 -0.067816 0.113550
0.186312 -0.067610 0.113453
0.186269 -0.067408 0.113346
0.186222 -0.067216 0.113250
0.186182 -0.067058 0.113177
0.186153 -0.066914 0.113122
0.186131 -0.066778 0.113069
0.186114 -0.066647 0.113006
0.186113 -0.066517 0.112945
0.186134 -0.066369 0.112862
0.186171 -0.066232 0.112779
0.186221 -0.066091 0.112689
0.186293 -0.065948 0.112596
0.186374 -0.065822 0.112516
0.186429 -0.065742 0.112469
0.186503 -0.065644 0.112412
0.186570 -0.065565 0.112369
0.186570 -0.065565 0.112369
0.186700 -0.065427 0.112297
0.186789 -0.065337 0.112256
0.186848 -0.065276 0.112229
0.186959 -0.065162 0.112177
0.187068 -0.065054 0.112128
0.187183 -0.064945 0.112074
0.187198 -0.064930 0.112067
0.187355 -0.064792 0.111997
0.187490 -0.064676 0.111939
0.187592 -0.064586 0.111890
0.187693 -0.064501 0.111840
0.187795 -0.064415 0.111788
0.187915 -0.064316 0.111726
0.188016 -0.064233 0.111676
0.188124 -0.064144 0.111624
0.188226 -0.064059 0.111577
0.188297 -0.064002 0.111544
0.188416 -0.063911 0.111494
0.188500 -0.063853 0.111464
0.188571 -0.063809 0.111446
0.188614 -0.063785 0.111435
0.188726 -0.063731 0.111419
0.188782 -0.063711 0.111418
0.188847 -0.063693 0.111421
0.188900 -0.063686 0.111424
0.188967 -0.063684 0.111431
0.189021 -0.063690 0.111442
0.189069 -0.063701 0.111449
0.189126 -0.063717 0.111461
0.189178 -0.063734 0.111472
0.189252 -0.063765 0.111494
0.189310 -0.063792 0.111513
0.189360 -0.063815 0.111529
0.189453 -0.063863 0.111561
0.189518 -0.063900 0.111583
0.189609 -0.063950 0.111612
0.189680 -0.063990 0.111634
0.189771 -0.064035 0.111656
0.189865 -0.064078 0.111673
0.189967 -0.064118 0.111684
0.190076 -0.064157 0.111688
0.190172 -0.064189 0.111689
0.190312 -0.064227 0.111690
0.190427 -0.064255 0.111688
0.190549 -0.064277 0.111687
0.190657 -0.064293 0.111687
0.190869 -0.064325 0.111685
0.191047 -0.064349 0.111682
0.191200 -0.064363 0.111677
0.191387 -0.064374 0.111672
0.191597 -0.064379 0.111661
0.191766 -0.064379 0.111648
0.191966 -0.064374 0.111627
0.192138 -0.064366 0.111604
0.192254 -0.064358 0.111585
0.192547 -0.064329 0.111527
0.192670 -0.064313 0.111502
0.193020 -0.064260 0.111427
0.193243 -0.064222 0.111377
0.193439 -0.064185 0.111333
0.193690 -0.064140 0.111274
0.193909 -0.064097 0.111219
0.194121 -0.064056 0.111164
0.194303 -0.064021 0.111120
0.194543 -0.063969 0.111055
0.194756 -0.063927 0.111004
0.194930 -0.063893 0.110967
0.195153 -0.063849 0.110920
0.195313 -0.063815 0.110887
0.195494 -0.063778 0.110853
0.195651 -0.063746 0.110829
0.195854 -0.063710 0.110802
0.196006 -0.063684 0.110782
0.196172 -0.063655 0.110763
0.196264 -0.063640 0.110755
0.196481 -0.063604 0.110742
0.196624 -0.063580 0.110738
0.196783 -0.063556 0.110732
0.196924 -0.063536 0.110728
0.197073 -0.063517 0.110726
0.197220 -0.063499 0.110730
0.197344 -0.063483 0.110737
0.197472 -0.063468 0.110749
0.197593 -0.063454 0.110761
0.197750 -0.063439 0.110779
0.197865 -0.063430 0.110795
0.197959 -0.063425 0.110810
0.198107 -0.063421 0.110838
0.198221 -0.063421 0.110860
0.198355 -0.063425 0.110891
0.198468 -0.063432 0.110919
0.198618 -0.063441 0.110953
0.198729 -0.063451 0.110979
0.198838 -0.063460 0.111002
0.198966 -0.063475 0.111030
0.199078 -0.063489 0.111051
0.199211 -0.063504 0.111069
0.199325 -0.063515 0.111085
0.199480 -0.063529 0.111105
0.199597 -0.063537 0.111116
0.199732 -0.063547 0.111124
0.199852 -0.063555 0.111128
0.199993 -0.063566 0.111133
0.200096 -0.063575 0.111137
0.200117 -0.063577 0.111137
0.200117 -0.063577 0.111137
0.200178 -0.063581 0.111139
0.200397 -0.063596 0.111140
0.200516 -0.063604 0.111140
0.200615 -0.063609 0.111139
0.200615 -0.063609 0.111139
0.200696 -0.063612 0.111137
0.200905 -0.063613 0.111132
0.201075 -0.063609 0.111128
0.201180 -0.063603 0.111121
0.201200 -0.063602 0.111120
0.201407 -0.063584 0.111103
0.201514 -0.063576 0.111095
0.201535 -0.063574 0.111093
0.201578 -0.063569 0.111089
0.201796 -0.063540 0.111057
0.201963 -0.063516 0.111024
0.202056 -0.063499 0.111004
0.202056 -0.063499 0.111004
0.202056 -0.063499 0.111004
0.202391 -0.063421 0.110921
0.202495 -0.063397 0.110895
0.202582 -0.063376 0.110875
0.202652 -0.063359 0.110860
0.202754 -0.063333 0.110838
0.202828 -0.063314 0.110828
0.202885 -0.063298 0.110820
0.202971 -0.063275 0.110812
0.203039 -0.063257 0.110808
0.203118 -0.063233 0.110804
0.203216 -0.063203 0.110803
0.203299 -0.063178 0.110802
0.203370 -0.063156 0.110803
0.203439 -0.063133 0.110805
