x y z
-0.215611 -0.600576 1.422946
-0.218827 -0.610758 1.436436
-0.184571 -0.498528 1.105496
-0.161711 -0.379179 0.871448
-0.211572 -0.516595 1.135220
-0.211297 -0.710452 1.274829
-0.212473 -0.674897 1.308482
-0.213759 -0.562130 1.335326
-0.088862 -0.511964 1.257745
-0.081893 -0.543010 1.289442
-0.111155 -0.527061 1.261216
-0.100873 -0.590725 1.276113
-0.124278 -0.459782 1.146407
-0.203595 -0.628695 1.487463
-0.188683 -0.622391 1.404769
-0.134758 -0.630320 1.166681
-0.107626 -0.657029 1.068063
-0.034362 -0.693898 0.803911
-0.005113 -0.741357 0.697761
0.020520 -0.691583 0.723009
0.039493 -0.698557 0.795374
0.041563 -0.726640 0.920625
0.037178 -0.705047 1.066101
0.079661 -0.698111 1.079878
0.173243 -0.642724 1.106024
0.259780 -0.617520 1.132605
0.301733 -0.574454 1.165892
0.329524 -0.508974 1.184862
0.189490 -0.487202 1.109634
-0.101406 -0.500203 1.021686
-0.163277 -0.460693 1.042697
0.001211 -0.400233 1.079742
0.233156 -0.423853 1.112219
0.443293 -0.645760 1.177354
0.623202 -0.779209 1.210876
0.661008 -0.811296 1.187686
0.678899 -0.825763 1.271051
0.721054 -0.778854 1.390951
0.603109 -0.662020 1.461698
0.403816 -0.467086 1.362209
0.224210 -0.267485 1.176154
0.157873 -0.147495 1.121287
0.177169 -0.011003 1.085044
0.168481 0.001121 1.021528
0.107098 0.013053 1.050506
0.016189 -0.160668 1.112355
0.037992 -0.261456 1.186373
-0.012613 -0.397015 1.211036
-0.383120 -0.510378 1.407406
-0.347907 -0.482468 1.519636
-0.282957 -0.470549 1.476594
-0.125529 -0.406592 1.398224
0.026985 -0.324343 1.395834
0.146203 -0.125003 1.330437
0.104017 -0.111350 1.244900
0.081098 -0.137637 1.200295
-0.050621 -0.164218 0.947104
-0.087003 -0.170090 0.750080
-0.076061 -0.278974 0.796818
-0.097195 -0.326780 0.819819
-0.038667 -0.421307 0.948345
0.169217 -0.407685 1.134857
0.445171 -0.157745 1.418294
0.504591 -0.120387 1.438657
0.516901 -0.057136 1.492286
0.436480 -0.044761 1.497157
0.561984 -0.166843 1.541826
0.646737 -0.136287 1.564733
0.692159 -0.204938 1.549868
0.573808 -0.239910 1.499798
0.365255 -0.261189 1.436225
0.077311 -0.424711 1.510322
0.004453 -0.374116 1.516846
-0.100935 -0.449893 1.552889
-0.178121 -0.434004 1.562015
-0.056408 -0.405246 1.555263
-0.065462 -0.426747 1.486259
-0.060127 -0.336211 1.343159
-0.080672 -0.371736 1.238638
-0.045605 -0.334492 1.062445
-0.017483 -0.342625 1.051847
-0.007410 -0.390394 0.975532
0.056251 -0.328476 0.875407
0.105645 -0.431215 0.926798
0.118270 -0.390704 0.906390
0.200849 -0.275398 0.909081
0.234094 -0.304966 0.907654
0.205490 -0.221542 0.853503
0.186422 -0.292071 0.893413
0.106079 -0.396769 0.934543
0.055255 -0.395144 1.052999
0.025949 -0.450585 1.063132
0.000535 -0.410722 1.061691
0.058313 -0.376030 1.093572
0.165635 -0.482018 1.145694
0.279971 -0.423285 1.275762
0.136759 -0.546657 1.300685
0.119707 -0.497285 1.324052
0.079710 -0.422756 1.298828
-0.154231 -0.542422 1.282212
-0.333743 -0.302132 1.444178
-0.319672 -0.308339 1.474032
-0.274458 -0.264002 1.500025
-0.155411 -0.247948 1.603110
0.127097 -0.604854 1.614866
0.139385 -0.728625 1.603073
0.270457 -0.839435 1.560771
0.334320 -0.850622 1.404610
0.070374 -0.472637 1.052518
-0.081868 -0.404814 0.953578
-0.449618 -0.098434 0.871113
-0.680790 0.257388 0.889434
-0.875298 0.527002 0.985960
-1.104794 0.762422 1.127575
-1.406674 0.568851 1.398897
-1.194798 0.310590 1.624460
-0.493054 0.053804 1.845144
0.248751 -0.541865 2.120907
0.762675 -1.129489 2.328773
0.850100 -1.132156 2.312357
0.788503 -1.098583 2.200084
0.457198 -0.896484 1.983618
-0.596162 0.049786 1.625994
-0.645568 0.249636 1.603391
-0.605095 1.107966 1.546890
-0.586944 1.387141 1.543941
-0.507981 1.390878 1.440141
-0.430783 1.302107 1.387925
-0.210836 0.853777 1.236065
0.013215 0.338726 1.146305
0.490289 -0.991784 1.253330
0.495381 -1.122488 1.245491
0.023063 -1.152065 1.211638
-0.627283 -0.263268 1.123541
-0.775207 0.849702 1.534466
-0.810215 0.809212 2.013304
-0.787523 0.185755 2.022137
-0.692188 -0.415776 1.843321
-0.604045 -0.612316 1.751471
-0.505865 -1.040785 1.214448
-0.555372 -0.969904 1.102179
-0.740009 -0.671484 0.805501
-0.706210 0.336281 0.741000
-0.714765 0.474453 0.790483
-0.802759 0.585754 0.960385
-0.936678 0.455565 1.382958
-0.970780 0.134803 1.439409
-0.842715 -0.568787 1.655296
-0.672353 -1.393800 1.808170
-0.375769 -2.251295 1.956828
-0.214882 -2.105201 1.964471
0.190728 -1.494914 2.044439
0.128645 -0.301093 1.667045
-0.143117 0.065206 1.489108
-1.131836 0.605282 0.916151
-1.647031 0.821578 0.585585
-0.634104 0.521614 0.744459
-0.336548 0.250064 0.788529
-0.203665 -0.748722 0.796319
-0.404685 -1.726228 0.706023
-0.563914 -1.883610 0.602219
-0.773824 -1.820747 0.387776
-0.667188 -1.173052 0.330202
-0.446274 -0.814182 0.865457
-0.458816 -0.892771 1.004381
-0.694443 -0.987610 1.103060
-0.800045 -1.011867 0.994068
-1.043350 -0.952097 0.812444
-1.112611 -1.074411 0.760323
-0.785654 -1.132166 0.889672
-0.390322 -0.839620 1.100922
-0.635729 -0.817229 0.803737
-0.584983 -0.678608 0.271244
-0.007412 -1.087106 -0.140733
0.454998 -1.571545 0.001172
0.467989 -1.618929 0.346867
0.569535 -1.331905 0.471754
0.755191 -1.036304 0.785071
0.542729 -1.170485 0.954155
0.611301 -1.249865 1.161050
0.977411 -1.342907 1.504884
1.085365 -1.583113 1.857047
0.965088 -1.653281 2.082241
1.218845 -1.667144 2.211266
1.854770 -1.491241 2.476652
2.235425 -1.310672 2.500291
2.224647 -1.274409 2.181115
1.973888 -1.186524 1.910887
1.556143 -1.212411 1.927819
1.158766 -0.984954 1.966978
1.076636 -0.698185 2.219506
0.962290 -0.743876 2.291529
0.674956 -0.836971 2.033583
0.460868 -0.640348 1.580283
0.092514 -0.351641 1.003438
-0.093490 -0.265216 0.773422
0.191122 -0.500925 0.751561
0.568935 -0.759899 0.906421
0.472904 -0.725215 0.795754
0.190640 -0.444894 0.715946
0.141553 -0.211345 0.899002
0.166832 -0.259705 1.185056
0.164249 -0.437038 1.366413
0.155742 -0.483141 1.352755
0.155742 -0.483141 1.352755
-0.190917 -0.797591 1.313420
-0.257770 -0.864474 1.276862
-0.372951 -0.964085 1.282795
-0.557306 -1.020331 1.143094
-0.685988 -0.881388 1.047476
-0.818573 -0.785885 0.850219
-0.939410 -1.073629 0.731851
-1.024268 -1.427136 0.755025
-1.153035 -1.692135 0.761911
-1.323330 -1.749548 0.761198
-1.296608 -1.749403 0.837792
-1.192361 -1.605086 1.031709
-0.905766 -1.598637 1.187601
-0.591369 -1.677519 1.283462
-0.343964 -1.667762 1.355015
-0.168474 -1.709221 1.278664
-0.226038 -1.753598 1.013716
-0.427140 -1.710548 0.608222
-0.477353 -1.659972 0.418779
-0.420358 -1.475473 0.437452
-0.205053 -1.246557 0.707735
0.055446 -1.143773 0.977487
0.194174 -1.096914 1.156611
0.312040 -1.129029 1.264676
0.347102 -1.213998 1.269479
0.351167 -1.193537 1.284657
0.432467 -1.183025 1.268466
0.494019 -1.457776 1.415087
0.307232 -1.483863 1.522951
-0.064273 -1.225430 1.372786
