Column1 Column2 Column3
0.155972 0.316597 1.700865
0.120761 0.258013 1.554427
0.103310 0.247941 1.534348
0.108455 0.186631 1.456489
0.087063 0.131975 1.364465
0.073898 0.141201 1.373097
0.080442 0.119017 1.249619
0.005036 -0.070444 1.396305
0.034188 -0.085736 1.701270
0.159214 0.334202 1.566064
0.111015 0.233393 1.394369
0.115296 0.204322 1.356953
0.076233 0.150739 1.270825
0.131219 0.158243 1.216025
0.118351 0.162751 1.280650
0.166931 0.330957 1.620722
0.153369 0.306712 1.619395
0.137826 0.206986 1.491027
0.115187 0.252298 1.737446
0.036197 0.232896 1.934677
0.092013 0.241580 2.141344
0.114101 0.181085 2.193883
0.227866 0.102969 2.178045
0.476865 -0.035057 1.952301
0.616155 -0.174778 1.732695
0.755096 -0.316319 1.493958
0.931748 -0.374677 1.306451
0.973404 -0.390824 1.262396
0.953431 -0.371256 1.193156
0.898398 -0.203738 1.061322
0.879164 -0.199951 1.073135
0.770500 -0.023486 1.186331
0.619925 0.079157 1.199234
0.363771 0.158864 1.191470
0.156294 0.157227 1.220055
-0.038484 0.116818 1.205767
-0.287322 0.124825 1.337503
-0.422287 0.189400 1.511910
-0.493859 0.212715 1.664041
-0.576381 0.225823 1.808655
-0.616962 0.181850 2.012333
-0.608348 0.185299 2.073111
-0.537474 0.131745 2.084390
-0.467653 0.168595 2.051079
-0.474060 0.185746 2.066213
-0.478622 0.174277 2.098104
-0.463318 0.165824 2.096807
-0.351820 0.136151 2.061343
-0.163027 0.103777 1.990709
-0.149041 0.104722 1.977709
-0.125289 0.096581 1.961951
-0.125289 0.096581 1.961951
-0.061408 0.089459 1.880763
0.076084 0.026911 1.798814
0.129542 0.023321 1.723839
0.331859 -0.005019 1.602358
0.413590 -0.049360 1.527023
0.498846 -0.094114 1.501662
0.526290 -0.096541 1.492332
0.680936 -0.136154 1.432864
0.688341 -0.150849 1.428764
0.710267 -0.154286 1.435729
0.864460 -0.197954 1.378739
1.000793 -0.260152 1.360488
1.103935 -0.330173 1.323585
1.102241 -0.355388 1.328825
1.108586 -0.430800 1.285111
1.087168 -0.442730 1.223848
1.087337 -0.450185 1.208199
1.062097 -0.424234 1.247022
0.967778 -0.380725 1.275505
0.721794 -0.314319 1.334458
0.467107 -0.219160 1.360019
0.283943 -0.147335 1.382574
0.080907 -0.085045 1.435668
-0.064625 -0.043990 1.437445
-0.097916 -0.046461 1.446940
-0.335034 0.051917 1.487334
-0.644989 0.181302 1.591285
-0.819349 0.256825 1.660916
-0.976412 0.289479 1.771646
-0.995637 0.291318 1.771982
-1.149073 0.432028 1.870012
-1.211567 0.542372 1.880777
-1.097924 0.613001 1.990218
-0.914864 0.595209 2.001633
-0.697626 0.557506 1.957620
-0.393034 0.479545 1.853299
-0.155810 0.416052 1.777141
0.031460 0.331235 1.760264
0.135239 0.283101 1.731602
0.201289 0.249546 1.702407
0.434376 0.116451 1.690802
0.635523 0.008292 1.657751
1.053102 -0.273467 1.570589
1.437212 -0.536592 1.481011
1.503100 -0.578909 1.451740
1.822218 -0.828277 1.365922
1.957412 -1.009120 1.312336
2.008760 -1.065191 1.302522
2.119646 -1.260770 1.261076
2.077184 -1.328125 1.208030
2.049665 -1.390059 1.166811
1.827446 -1.489460 1.053645
1.581604 -1.488325 1.057796
1.498665 -1.493718 1.054853
1.029424 -1.393860 1.079514
0.731525 -1.298152 1.092923
0.548522 -1.253536 1.144421
0.003205 -1.070778 1.202952
-0.074591 -1.007458 1.228325
-0.661093 -0.736731 1.361582
-0.713053 -0.707134 1.359675
-1.558651 -0.223194 1.538696
-1.640351 -0.149916 1.573608
-2.044448 0.247157 1.670958
-2.254068 0.471229 1.744255
-2.455293 0.684785 1.822712
-2.650978 0.930547 1.894012
-2.639041 0.988831 1.908231
-2.615557 1.196132 2.001222
-2.409991 1.397277 2.069319
-2.326009 1.429826 2.078891
-1.823373 1.641363 2.086817
-1.470747 1.705975 2.085593
-0.878650 1.745346 2.238238
-0.340511 1.648014 2.224606
0.333368 1.456410 2.087534
1.034740 1.224348 1.871750
1.678170 0.904754 1.613021
2.272477 0.557697 1.348263
2.772154 0.215995 1.146236
3.260816 -0.274462 0.921255
3.531086 -0.672892 0.785157
3.814674 -1.229303 0.619504
3.912081 -1.621898 0.537561
3.912993 -1.759284 0.517654
3.777137 -2.048774 0.467888
3.552098 -2.285750 0.487544
3.224773 -2.499975 0.492223
2.820182 -2.694720 0.464593
2.311694 -2.833257 0.494710
1.780894 -2.912526 0.574551
1.364859 -2.913515 0.660254
0.639003 -2.864639 0.787021
0.123758 -2.772958 0.880837
-0.601590 -2.580878 1.060075
-1.786295 -2.048640 1.291360
-2.414258 -1.624784 1.478988
-3.065770 -0.954298 1.666615
-3.458836 -0.370987 1.843099
-3.721044 0.258755 2.068934
-3.943617 0.956026 2.403417
-4.039672 1.471557 2.580739
-4.140270 2.018913 2.842699
-4.120018 2.473602 3.106272
-3.869383 2.792245 3.333393
-3.402070 2.975132 3.484149
-2.691909 3.043505 3.762568
-2.387099 3.055272 3.805442
-1.601279 3.104792 3.858686
-0.988008 3.189156 3.766436
-0.277391 3.239467 3.501448
0.270494 3.199956 3.239048
1.749828 2.669291 2.415885
2.466701 2.125587 1.931382
3.088158 1.475392 1.434940
3.533877 0.652848 0.915663
3.767106 -0.294434 0.256874
3.910077 -1.044732 -0.437606
4.060822 -1.744606 -1.124382
4.168342 -2.317462 -1.688590
4.284597 -2.926108 -1.897526
4.376616 -3.439494 -1.683626
4.366475 -3.708916 -1.498185
4.349176 -4.356456 -1.076577
4.321684 -4.421780 -1.045656
4.036383 -4.663257 -0.912458
3.758477 -4.836652 -0.840724
2.936151 -5.003670 -0.685183
1.774847 -5.154744 -0.498084
0.997331 -5.097831 -0.344120
-0.035766 -4.852138 0.030669
-0.169192 -4.806163 0.086956
-0.574379 -4.649889 0.263162
-1.539771 -4.057679 0.863993
-2.027563 -3.597906 1.267964
-3.197899 -1.670975 2.430657
-3.483370 -0.726561 2.918230
-3.573810 -0.357882 3.091829
-3.858352 0.811687 3.431447
-3.916787 1.010444 3.434382
-4.073262 2.022792 3.421528
-4.092227 2.531971 3.390033
-4.117271 2.889444 3.405909
-4.090892 2.987041 3.381214
-4.117447 3.147517 3.415408
-4.147694 3.511383 3.873473
-4.105627 3.568982 3.961996
-3.891303 3.670736 3.513186
-3.794248 3.733121 3.354539
-3.517327 3.904054 2.987265
-2.486922 4.215254 2.568059
-2.264421 4.253986 2.514908
-1.619520 4.303167 2.438956
-0.512528 4.268923 2.543053
-0.406876 4.245678 2.547871
-0.297021 4.244991 2.589559
0.296905 4.113500 2.715985
1.263723 3.917632 3.041390
2.546679 3.723681 3.834478
3.083882 3.427311 4.184335
3.451252 3.008015 4.308257
3.735475 2.450341 4.058701
3.810831 2.122865 3.824198
4.047327 1.317390 3.035748
4.153298 0.844959 2.644377
4.210186 0.054191 2.110131
4.214431 -0.171237 2.019959
4.263584 -2.019592 1.633337
4.280982 -2.801130 1.314411
4.341050 -3.423236 0.995103
4.320462 -3.785784 0.849330
4.305711 -3.876556 0.844527
4.292288 -4.106410 0.700348
4.223635 -4.428993 0.567515
4.223635 -4.428993 0.567515
3.478266 -4.987878 0.396441
2.472895 -5.283525 0.145265
1.731302 -5.404564 0.085549
1.334384 -5.449876 -0.014850
1.228651 -5.478932 -0.071504
0.184840 -5.513343 -0.064724
-0.567977 -5.525278 -0.079839
-0.800035 -5.508484 -0.097082
-1.793162 -5.437113 -0.202376
-2.375295 -5.332941 -0.415419
-2.849097 -5.123391 -0.598622
-3.140975 -4.814511 -0.774881
-3.361745 -4.372867 -0.878518
-3.534570 -3.913804 -0.852658
-3.717233 -3.270546 -0.660428
-3.928388 -2.171923 -0.149747
-4.044210 -1.080127 0.462333
-4.086737 -0.773208 0.651506
-4.112515 0.734020 1.523393
-4.162825 1.873375 2.198335
-4.213012 2.491933 2.538626
-4.183190 2.792566 2.817348
-4.172524 2.841009 2.900393
-3.501704 3.372002 2.974815
-2.704422 3.853827 2.532365
-2.513551 3.925929 2.441875
-1.773791 4.086106 2.159157
-1.211362 4.179913 1.998612
0.107385 4.229629 1.979674
0.746800 4.175116 2.090461
1.332016 4.084413 2.239328
1.832783 3.993136 2.394010
2.450458 3.855808 2.637386
2.620057 3.803419 2.690110
3.176920 3.634024 3.018564
3.339186 3.576961 3.185252
3.674805 3.285642 3.675290
3.807788 3.135157 3.971619
4.053004 2.908835 4.440483
4.193735 2.820851 4.885030
4.383853 2.676796 4.884305
4.431590 2.187473 4.528574
4.443870 1.961366 4.384305
4.467421 1.091182 4.163061
4.494965 -0.572478 3.561782
4.403260 -1.618634 2.884746
4.206180 -2.187326 2.464424
3.638034 -2.976640 1.742886
3.458965 -3.150844 1.609415
2.869313 -3.576079 1.273638
1.769740 -4.150109 0.829144
1.395103 -4.297410 0.678922
0.777073 -4.512218 0.516072
-0.004548 -4.737327 0.351980
-1.255425 -4.960744 0.162339
-1.567819 -5.016044 0.132358
-2.564039 -5.147690 0.038634
-3.116529 -5.233699 -0.023643
-3.484941 -5.265009 -0.040564
-3.786134 -5.291274 -0.100658
-4.118938 -5.234377 -0.132150
-4.251387 -5.141179 -0.193020
-4.390786 -4.981838 -0.530924
-4.475501 -4.874134 -0.857463
-4.533494 -4.240295 -0.650726
-4.587121 -3.348632 -0.134967
-4.591354 -2.069839 0.719587
-4.456080 -1.076155 1.468814
-3.873262 0.005566 2.253423
-2.948778 0.886777 2.739133
-2.689635 1.096729 2.812006
-2.092280 1.435175 2.930602
-0.582620 2.078802 3.120699
0.226072 2.343111 3.214883
0.725768 2.483868 3.243557
1.368221 2.617002 3.368750
2.084415 2.733600 3.478061
2.475534 2.795351 3.536032
2.869239 2.820362 3.592429
3.315574 2.871936 3.663426
3.652555 2.901365 3.755450
3.896922 2.939577 3.884721
4.097359 2.900682 3.897149
4.101084 2.879614 3.916266
4.363198 2.846901 4.011179
4.448144 2.813862 4.093689
4.506721 2.778960 4.168498
4.656497 2.661857 4.431412
4.665025 2.604285 4.482531
4.766803 2.435787 4.817275
4.804827 2.326106 5.066031
4.859208 2.199088 5.393270
4.868212 2.044589 5.630997
4.907334 1.876577 6.006310
4.908281 1.805146 6.141701
4.906780 1.519354 6.717913
4.836515 1.071223 6.654475
4.617348 0.388465 6.210088
4.338993 -0.325281 5.572669
3.646373 -1.501359 4.344311
3.096334 -2.128288 3.662970
1.937346 -3.049559 2.585114
0.808092 -3.618175 1.931135
-0.476949 -4.062297 1.342474
-1.731372 -4.454487 0.880237
-2.651380 -4.643311 0.661305
-3.331461 -4.812860 0.476247
-3.750742 -4.926938 0.382476
-4.130724 -5.030926 0.297686
-4.355170 -5.059488 0.303883
-4.581153 -5.026766 0.231202
-4.618899 -5.020367 0.229601
-4.854335 -4.929861 0.094943
-4.617376 -4.825784 -0.252396
-4.553181 -4.801419 -0.320648
-4.445775 -4.771930 -0.325890
-4.054622 -4.679748 -0.508622
-2.166268 -4.370884 -1.089488
-1.324037 -3.908375 -0.859530
-0.603581 -3.273725 -0.389707
0.115695 -2.411569 0.276868
0.856021 -1.478880 0.982577
1.518587 -0.654862 1.649626
2.078497 -0.036945 2.113641
2.789729 0.597683 2.605372
2.946112 0.741902 2.711304
3.734249 1.464393 3.170186
3.942867 1.674867 3.361140
4.124042 1.794411 3.453602
4.436033 2.088079 3.721670
4.640798 2.292352 3.898789
4.671398 2.326893 3.894365
4.765123 2.469973 4.120120
4.847867 2.512734 4.357406
4.949340 2.523301 4.611283
4.894757 2.487804 4.799867
4.661646 2.462249 5.032014
4.269002 2.443091 5.192012
3.694764 2.369785 5.394891
3.162560 2.335829 5.577366
2.304708 2.361931 5.946608
1.502189 2.269164 6.102315
0.931660 2.200828 6.309057
0.844134 2.189320 6.346450
-0.140622 1.927081 6.656244
-0.818220 1.203479 6.170131
-1.521893 0.193478 5.201258
-2.080536 -0.738728 4.291945
-2.177635 -0.880657 4.156906
-3.017120 -2.322601 2.859355
-3.300265 -2.865643 2.447751
-3.445187 -3.158631 2.234692
-3.785878 -3.723630 1.883915
-3.841423 -3.794392 1.813530
-3.878413 -3.893401 1.721641
-4.053657 -4.121325 1.520945
-4.235094 -4.261845 1.417231
-4.404904 -4.403480 1.300813
-4.623596 -4.457131 1.185944
-4.761274 -4.566825 1.122167
-5.059081 -4.737230 1.169390
-5.064552 -4.814459 1.133616
-4.809545 -4.888830 1.096289
-4.308340 -5.003728 1.058393
-3.560642 -5.115598 0.990531
-2.801504 -5.162688 0.862249
-1.926059 -5.246967 0.588026
-1.200775 -5.227357 0.390548
-0.439381 -5.179723 0.111836
0.491899 -4.985086 -0.209440
0.747481 -4.911403 -0.244352
1.885706 -4.155965 -0.057908
1.993580 -4.034230 0.010834
2.230579 -3.832054 0.070367
3.595559 -1.775695 1.084963
3.997550 -0.930571 1.518986
4.357713 -0.169435 1.880974
4.631651 0.414420 2.149345
4.876341 0.975616 2.354103
5.074092 1.472997 2.566441
5.264009 1.749590 2.654068
5.388998 1.968037 2.707601
5.499148 2.195706 2.751204
5.562190 2.343298 2.781200
5.653855 2.467442 2.865808
5.707142 2.545736 2.958916
5.701770 2.597215 3.132954
5.648170 2.639803 3.262161
5.442578 2.698922 3.400586
5.063755 2.758421 3.466451
4.254446 2.911777 3.590456
3.570272 3.047391 3.650853
2.683230 3.277292 3.798241
2.006122 3.377875 3.851868
1.149411 3.490996 4.009656
0.456847 3.590267 4.255238
-0.344555 3.511939 4.400520
-1.056391 3.107991 4.237862
-1.839020 2.412882 3.963515
-2.694219 1.289958 3.312985
-3.311328 0.057068 2.811666
-3.782805 -0.887882 2.445011
-4.248493 -1.683902 2.152691
-4.578209 -2.210389 1.948346
-4.868931 -2.695953 1.717764
-5.088647 -2.976834 1.685731
-5.076480 -3.243633 1.548188
-4.735577 -3.543202 1.426579
-4.225697 -3.934645 1.289314
-3.445404 -4.146707 1.329352
-2.497248 -4.405053 1.338332
-1.676906 -4.419272 1.495467
-0.844506 -4.208402 1.747169
0.149423 -3.774076 1.918446
1.210931 -3.330639 2.001424
2.081785 -2.945483 2.028105
2.414860 -2.747629 2.023512
3.293911 -2.213651 1.777863
3.758349 -1.952857 1.299473
4.010299 -1.852506 0.865533
4.244328 -1.795998 0.327268
4.363901 -1.814569 -0.144424
4.459525 -2.030428 -0.577251
4.438755 -2.336421 -0.858701
4.365257 -2.505105 -1.043369
4.343339 -2.563338 -1.897429
4.334769 -2.580064 -2.329205
4.333443 -2.632390 -3.605528
3.915312 -2.498583 -4.258953
3.255241 -2.199557 -4.605342
2.520332 -1.842031 -4.739783
1.577835 -1.395752 -4.856042
0.685720 -1.050011 -5.026207
0.051056 -0.824497 -5.035208
-0.399591 -0.751718 -5.077589
-0.600864 -0.696329 -5.077962
-0.854837 -0.677402 -5.080195
-1.793413 -0.611846 -5.051620
-2.147016 -0.657309 -5.037687
-2.444199 -0.672519 -5.004727
-2.987678 -0.671803 -5.006122
-3.679837 -0.554288 -4.743620
-4.067502 -0.597844 -4.540402
-4.202939 -0.629779 -4.421230
-4.709210 -0.624291 -3.944060
-4.910001 -0.634059 -3.680752
-5.019333 -0.637934 -3.357293
-4.878541 -0.903802 -3.068033
-4.656123 -1.089123 -2.964039
-4.204021 -1.454309 -2.785050
-3.396307 -2.025889 -2.562224
-2.740183 -2.443451 -2.467765
-1.513959 -3.136550 -2.099466
-0.667697 -3.639831 -1.905225
0.272977 -4.029318 -1.744406
0.861395 -4.276089 -1.693742
1.473952 -4.637730 -1.407684
1.576579 -4.719735 -1.362900
1.999346 -5.081406 -1.359213
2.039723 -5.127586 -1.394347
2.057702 -5.161413 -1.404649
2.241198 -5.340070 -1.544148
2.241198 -5.340070 -1.544148
2.396625 -5.527125 -1.701587
2.750681 -5.841476 -1.734294
2.726752 -5.927550 -1.651907
2.775790 -5.892928 -1.429297
2.869503 -5.850907 -1.282317
2.964509 -5.824823 -1.307126
3.044094 -5.799368 -1.371104
3.260315 -5.662705 -1.538789
3.465173 -5.470543 -1.738325
3.663712 -5.178709 -1.743390
3.938694 -4.930978 -1.710045
4.022600 -4.620698 -1.910436
4.027471 -4.282131 -2.660321
3.821548 -3.861181 -3.477676
3.402345 -3.481306 -4.173468
2.882313 -3.141493 -4.785747
2.201104 -2.797894 -5.241627
1.430172 -2.455519 -5.534444
0.670812 -2.139226 -5.920297
-0.073403 -1.985500 -6.310339
-0.694534 -2.064979 -6.666783
-1.253556 -2.169095 -6.995122
-1.841778 -2.441697 -7.358577
-2.207562 -2.647920 -7.634014
-2.508035 -2.794759 -7.837531
-2.834023 -3.020347 -8.130986
-3.050724 -3.245727 -8.345299
-3.082234 -3.505748 -8.391758
-2.935622 -3.745212 -8.246665
-2.642356 -4.014206 -7.974019
-2.180654 -4.279940 -7.618373
-1.645098 -4.586023 -7.385966
-1.191630 -4.821719 -7.061583
-0.511768 -5.120844 -6.291472
0.231177 -5.439233 -5.189105
0.820518 -5.700481 -4.330280
1.469543 -5.985873 -3.612254
2.140459 -6.221012 -2.831285
2.528019 -6.389442 -2.470954
2.914105 -6.588622 -2.380512
3.113115 -6.733959 -2.497742
3.336741 -6.781946 -2.465122
3.507405 -6.848414 -2.339514
3.591445 -6.896424 -2.280893
3.766845 -6.957220 -2.518852
3.889353 -6.945139 -2.851263
3.982784 -6.962112 -3.159775
4.082671 -7.022747 -3.321103
4.093625 -7.011509 -3.339228
4.093625 -7.011509 -3.339228
4.088112 -6.998658 -3.552317
4.097583 -7.001609 -4.336501
4.097583 -7.001609 -4.336501
3.907944 -6.918668 -5.461689
3.553746 -6.815629 -6.114706
3.322980 -6.690337 -6.514992
3.053826 -6.531404 -6.856112
2.453375 -6.290984 -7.430713
1.446722 -6.117527 -8.136587
1.029731 -6.025241 -8.400948
0.856396 -5.964874 -8.470233
0.254672 -5.573773 -8.548620
-0.233839 -5.274509 -8.649248
-0.778391 -5.032975 -8.780897
-1.257592 -4.874727 -8.923824
-1.787830 -4.640803 -9.061306
-2.095273 -4.549327 -9.162640
-2.461667 -4.523985 -9.280436
-3.112278 -4.154188 -9.289164
-3.381748 -4.063980 -9.325531
-3.655409 -3.957557 -9.330340
-3.818416 -3.908219 -9.302817
-3.850719 -3.893209 -9.134456
-3.785309 -3.936852 -8.920969
-3.620739 -3.978735 -8.596216
-2.983379 -4.200737 -7.841487
-2.513534 -4.384755 -7.429922
-2.081020 -4.541113 -7.025192
-1.511725 -4.826841 -6.513163
-1.168664 -5.077552 -6.139612
-0.694311 -5.235587 -5.577207
-0.153498 -5.394326 -4.979332
0.316373 -5.498792 -4.467837
0.826461 -5.626479 -3.889603
1.387293 -5.823260 -3.411197
1.967254 -5.953762 -3.014792
2.391451 -6.093197 -2.776948
2.785126 -6.247641 -2.686145
3.112848 -6.356726 -2.490792
3.334569 -6.434282 -2.148142
3.513905 -6.526514 -1.617022
3.628855 -6.581471 -1.132125
3.795251 -6.429527 -0.440541
