x y z
0.122344 -0.074917 0.139666
0.122344 -0.074917 0.139666
0.122341 -0.074919 0.139668
0.122340 -0.074920 0.139669
0.122344 -0.074921 0.139668
0.122344 -0.074923 0.139670
0.122346 -0.074924 0.139671
0.122347 -0.074926 0.139670
0.122347 -0.074926 0.139671
0.122344 -0.074927 0.139673
0.122343 -0.074925 0.139672
0.122344 -0.074926 0.139674
0.122346 -0.074925 0.139674
0.122343 -0.074922 0.139669
0.122343 -0.074922 0.139669
0.122343 -0.074923 0.139671
0.122346 -0.074927 0.139677
0.122345 -0.074932 0.139686
0.122343 -0.074935 0.139691
0.122343 -0.074939 0.139696
0.122345 -0.074944 0.139700
0.122347 -0.074949 0.139707
0.122348 -0.074960 0.139717
0.122347 -0.074965 0.139724
0.122347 -0.074975 0.139735
0.122346 -0.074983 0.139743
0.122335 -0.074994 0.139756
0.122320 -0.075004 0.139767
0.122311 -0.075015 0.139779
0.122312 -0.075034 0.139797
0.122318 -0.075046 0.139808
0.122334 -0.075066 0.139825
0.122352 -0.075090 0.139847
0.122367 -0.075107 0.139862
0.122384 -0.075124 0.139874
0.122396 -0.075137 0.139887
0.122400 -0.075147 0.139898
0.122399 -0.075169 0.139923
0.122401 -0.075176 0.139931
0.122405 -0.075192 0.139947
0.122411 -0.075207 0.139963
0.122419 -0.075222 0.139978
0.122428 -0.075234 0.139994
0.122457 -0.075265 0.140027
0.122467 -0.075277 0.140045
0.122465 -0.075277 0.140059
0.122457 -0.075273 0.140072
0.122460 -0.075275 0.140080
0.122462 -0.075277 0.140083
0.122498 -0.075298 0.140109
0.122518 -0.075311 0.140123
0.122533 -0.075323 0.140133
0.122540 -0.075340 0.140151
0.122542 -0.075355 0.140178
0.122553 -0.075364 0.140202
0.122560 -0.075370 0.140211
0.122581 -0.075384 0.140237
0.122595 -0.075394 0.140251
0.122613 -0.075400 0.140264
0.122626 -0.075403 0.140272
0.122639 -0.075407 0.140279
0.122650 -0.075409 0.140284
0.122668 -0.075413 0.140293
0.122713 -0.075430 0.140309
0.122764 -0.075454 0.140329
0.122791 -0.075467 0.140343
0.122805 -0.075473 0.140356
0.122814 -0.075476 0.140363
0.122822 -0.075477 0.140369
0.122823 -0.075477 0.140370
0.122842 -0.075480 0.140382
0.122871 -0.075486 0.140394
0.122893 -0.075494 0.140403
0.122912 -0.075500 0.140410
0.122938 -0.075506 0.140421
0.122957 -0.075512 0.140431
0.122982 -0.075519 0.140446
0.122997 -0.075523 0.140457
0.123024 -0.075532 0.140475
0.123047 -0.075535 0.140490
0.123063 -0.075538 0.140499
0.123080 -0.075541 0.140507
0.123107 -0.075545 0.140517
0.123110 -0.075545 0.140519
0.123154 -0.075553 0.140532
