x y z
0.122345 -0.074923 0.139663
0.122345 -0.074923 0.139663
0.122345 -0.074923 0.139663
0.122345 -0.074923 0.139663
0.122345 -0.074923 0.139663
0.122345 -0.074923 0.139663
0.122343 -0.074930 0.139661
0.122343 -0.074930 0.139661
0.122343 -0.074936 0.139659
0.122343 -0.074930 0.139661
0.122342 -0.074932 0.139660
0.122342 -0.074932 0.139660
0.122343 -0.074930 0.139661
0.122343 -0.074930 0.139661
0.122343 -0.074930 0.139661
0.122343 -0.074928 0.139660
0.122343 -0.074929 0.139660
0.122343 -0.074933 0.139663
0.122343 -0.074942 0.139669
0.122342 -0.074949 0.139674
0.122341 -0.074954 0.139679
0.122340 -0.074967 0.139688
0.122339 -0.074980 0.139695
0.122338 -0.074994 0.139702
0.122336 -0.075010 0.139711
0.122337 -0.075027 0.139720
0.122338 -0.075041 0.139728
0.122339 -0.075059 0.139739
0.122341 -0.075076 0.139749
0.122342 -0.075100 0.139765
0.122341 -0.075115 0.139779
0.122342 -0.075131 0.139792
0.122349 -0.075139 0.139805
0.122359 -0.075150 0.139823
0.122365 -0.075161 0.139838
0.122379 -0.075175 0.139860
0.122395 -0.075196 0.139881
0.122409 -0.075216 0.139901
0.122415 -0.075227 0.139909
0.122436 -0.075268 0.139935
0.122443 -0.075283 0.139946
0.122456 -0.075313 0.139964
0.122462 -0.075327 0.139972
0.122480 -0.075362 0.139994
0.122497 -0.075382 0.140013
0.122508 -0.075392 0.140025
0.122534 -0.075407 0.140048
0.122557 -0.075420 0.140069
0.122574 -0.075428 0.140090
0.122587 -0.075435 0.140112
0.122597 -0.075439 0.140122
0.122609 -0.075445 0.140138
0.122623 -0.075458 0.140156
0.122639 -0.075470 0.140168
0.122653 -0.075485 0.140184
0.122662 -0.075495 0.140193
0.122670 -0.075498 0.140201
0.122682 -0.075511 0.140217
0.122699 -0.075520 0.140233
0.122718 -0.075529 0.140254
0.122726 -0.075530 0.140261
0.122735 -0.075534 0.140274
0.122749 -0.075541 0.140289
0.122762 -0.075552 0.140306
0.122779 -0.075561 0.140319
0.122796 -0.075569 0.140331
0.122819 -0.075578 0.140343
0.122845 -0.075583 0.140354
0.122870 -0.075593 0.140367
0.122895 -0.075602 0.140380
0.122917 -0.075607 0.140389
0.122930 -0.075607 0.140395
0.122969 -0.075611 0.140411
0.122983 -0.075612 0.140416
0.123006 -0.075615 0.140425
0.123030 -0.075617 0.140432
0.123061 -0.075619 0.140439
0.123089 -0.075621 0.140445
0.123116 -0.075626 0.140454
0.123149 -0.075628 0.140462
0.123163 -0.075626 0.140465
0.123187 -0.075627 0.140472
0.123206 -0.075625 0.140478
0.123224 -0.075627 0.140485
0.123245 -0.075627 0.140493
0.123266 -0.075626 0.140499
0.123286 -0.075626 0.140505
0.123313 -0.075629 0.140515
0.123341 -0.075632 0.140524
0.123354 -0.075633 0.140530
0.123383 -0.075632 0.140539
0.123406 -0.075635 0.140548
0.123431 -0.075635 0.140558
0.123442 -0.075634 0.140562
0.123462 -0.075639 0.140573
0.123485 -0.075637 0.140581
0.123506 -0.075641 0.140590
0.123520 -0.075643 0.140597
0.123545 -0.075646 0.140605
0.123566 -0.075654 0.140617
0.123573 -0.075651 0.140621
0.123585 -0.075649 0.140628
0.123597 -0.075643 0.140632
0.123610 -0.075630 0.140637
0.123623 -0.075623 0.140644
0.123641 -0.075610 0.140647
0.123658 -0.075605 0.140655
0.123676 -0.075602 0.140660
0.123691 -0.075598 0.140658
0.123703 -0.075594 0.140656
0.123705 -0.075594 0.140653
0.123701 -0.075590 0.140646
0.123696 -0.075585 0.140641
0.123692 -0.075566 0.140632
0.123681 -0.075531 0.140624
0.123676 -0.075488 0.140618
0.123685 -0.075446 0.140614
0.123703 -0.075405 0.140613
0.123723 -0.075366 0.140612
0.123733 -0.075340 0.140608
0.123745 -0.075305 0.140599
0.123745 -0.075292 0.140593
0.123736 -0.075278 0.140581
0.123719 -0.075271 0.140564
0.123715 -0.075255 0.140547
0.123705 -0.075230 0.140525
0.123705 -0.075198 0.140508
0.123712 -0.075165 0.140498
0.123730 -0.075098 0.140487
0.123752 -0.075030 0.140480
0.123769 -0.074983 0.140475
0.123799 -0.074901 0.140472
0.123809 -0.074847 0.140465
0.123804 -0.074774 0.140444
0.123786 -0.074716 0.140415
0.123781 -0.074638 0.140377
0.123792 -0.074552 0.140342
0.123804 -0.074467 0.140318
0.123811 -0.074389 0.140298
0.123814 -0.074316 0.140282
0.123807 -0.074246 0.140266
0.123794 -0.074185 0.140252
0.123773 -0.074102 0.140230
0.123758 -0.074028 0.140209
0.123739 -0.073942 0.140187
0.123722 -0.073842 0.140161
0.123709 -0.073746 0.140139
0.123693 -0.073620 0.140108
0.123684 -0.073530 0.140088
0.123665 -0.073434 0.140063
0.123637 -0.073328 0.140032
0.123615 -0.073255 0.140006
0.123589 -0.073180 0.139978
0.123548 -0.073084 0.139941
0.123512 -0.072999 0.139909
0.123472 -0.072900 0.139877
0.123443 -0.072791 0.139848
0.123430 -0.072686 0.139827
0.123413 -0.072586 0.139811
0.123360 -0.072470 0.139788
0.123307 -0.072350 0.139759
0.123255 -0.072251 0.139734
0.123196 -0.072154 0.139708
0.123156 -0.072091 0.139691
0.123090 -0.071994 0.139661
0.123033 -0.071908 0.139628
0.122970 -0.071803 0.139590
0.122911 -0.071720 0.139561
0.122847 -0.071646 0.139538
0.122756 -0.071531 0.139516
0.122620 -0.071395 0.139473
0.122514 -0.071276 0.139435
0.122387 -0.071145 0.139397
0.122256 -0.071017 0.139362
0.122146 -0.070926 0.139335
0.122008 -0.070835 0.139306
0.121875 -0.070770 0.139278
