x y z
-0.203497 -0.054878 0.164478
-0.203497 -0.054879 0.164477
-0.203497 -0.054878 0.164478
-0.203500 -0.054876 0.164477
-0.203500 -0.054875 0.164477
-0.203501 -0.054875 0.164477
-0.203501 -0.054875 0.164478
-0.203501 -0.054874 0.164479
-0.203500 -0.054873 0.164479
-0.203499 -0.054875 0.164479
-0.203496 -0.054872 0.164480
-0.203495 -0.054874 0.164480
-0.203494 -0.054873 0.164481
-0.203499 -0.054875 0.164479
-0.203499 -0.054875 0.164479
-0.203498 -0.054875 0.164479
-0.203493 -0.054869 0.164484
-0.203489 -0.054864 0.164487
-0.203486 -0.054861 0.164492
-0.203485 -0.054860 0.164495
-0.203483 -0.054854 0.164500
-0.203480 -0.054848 0.164504
-0.203479 -0.054843 0.164512
-0.203479 -0.054837 0.164517
-0.203482 -0.054830 0.164519
-0.203480 -0.054823 0.164522
-0.203477 -0.054814 0.164527
-0.203472 -0.054800 0.164533
-0.203468 -0.054788 0.164538
-0.203458 -0.054772 0.164545
-0.203447 -0.054755 0.164553
-0.203433 -0.054738 0.164564
-0.203418 -0.054719 0.164575
-0.203403 -0.054699 0.164586
-0.203396 -0.054682 0.164594
-0.203395 -0.054667 0.164602
-0.203395 -0.054651 0.164610
-0.203395 -0.054634 0.164617
-0.203393 -0.054621 0.164624
-0.203392 -0.054606 0.164631
-0.203390 -0.054592 0.164639
-0.203384 -0.054570 0.164650
-0.203370 -0.054551 0.164663
-0.203358 -0.054527 0.164676
-0.203353 -0.054505 0.164687
-0.203351 -0.054488 0.164693
-0.203345 -0.054462 0.164706
-0.203339 -0.054447 0.164715
-0.203330 -0.054426 0.164726
-0.203318 -0.054400 0.164741
-0.203307 -0.054382 0.164755
-0.203296 -0.054365 0.164773
-0.203291 -0.054340 0.164792
-0.203288 -0.054324 0.164802
-0.203286 -0.054301 0.164812
-0.203283 -0.054283 0.164823
-0.203281 -0.054267 0.164829
-0.203279 -0.054253 0.164836
-0.203274 -0.054235 0.164844
-0.203267 -0.054217 0.164853
-0.203259 -0.054200 0.164862
-0.203248 -0.054181 0.164874
-0.203241 -0.054162 0.164885
-0.203238 -0.054147 0.164894
-0.203234 -0.054131 0.164906
-0.203230 -0.054113 0.164917
-0.203226 -0.054099 0.164928
-0.203222 -0.054083 0.164939
-0.203218 -0.054066 0.164951
-0.203215 -0.054051 0.164961
-0.203207 -0.054026 0.164978
-0.203204 -0.054010 0.164986
-0.203200 -0.053990 0.164996
-0.203197 -0.053972 0.165005
-0.203194 -0.053958 0.165010
-0.203192 -0.053945 0.165016
-0.203186 -0.053919 0.165030
-0.203183 -0.053906 0.165037
-0.203178 -0.053892 0.165049
-0.203174 -0.053875 0.165062
-0.203171 -0.053862 0.165073
-0.203171 -0.053848 0.165086
-0.203170 -0.053838 0.165096
-0.203168 -0.053827 0.165107
-0.203168 -0.053817 0.165118
-0.203168 -0.053806 0.165127
-0.203165 -0.053796 0.165134
-0.203165 -0.053784 0.165140
-0.203162 -0.053770 0.165146
-0.203159 -0.053758 0.165152
-0.203157 -0.053747 0.165157
-0.203153 -0.053731 0.165164
-0.203149 -0.053718 0.165171
-0.203145 -0.053701 0.165179
-0.203141 -0.053687 0.165186
-0.203133 -0.053667 0.165194
-0.203126 -0.053648 0.165201
-0.203117 -0.053630 0.165209
-0.203113 -0.053619 0.165214
-0.203107 -0.053602 0.165221
-0.203107 -0.053589 0.165227
-0.203108 -0.053575 0.165232
-0.203109 -0.053565 0.165237
-0.203110 -0.053555 0.165239
-0.203109 -0.053547 0.165244
-0.203099 -0.053539 0.165248
-0.203092 -0.053532 0.165251
-0.203086 -0.053526 0.165254
-0.203086 -0.053522 0.165254
-0.203084 -0.053518 0.165255
-0.203083 -0.053515 0.165256
-0.203082 -0.053511 0.165256
-0.203085 -0.053507 0.165257
-0.203087 -0.053504 0.165257
-0.203089 -0.053502 0.165257
-0.203087 -0.053499 0.165258
-0.203087 -0.053496 0.165259
-0.203085 -0.053490 0.165262
-0.203079 -0.053486 0.165263
-0.203069 -0.053481 0.165266
-0.203063 -0.053476 0.165269
-0.203052 -0.053468 0.165273
-0.203046 -0.053466 0.165273
-0.203042 -0.053463 0.165274
-0.203036 -0.053460 0.165274
-0.203025 -0.053458 0.165275
-0.203016 -0.053456 0.165277
-0.203005 -0.053452 0.165280
-0.202995 -0.053448 0.165285
-0.202986 -0.053447 0.165287
-0.202982 -0.053448 0.165288
-0.202984 -0.053456 0.165286
-0.202992 -0.053465 0.165282
-0.203002 -0.053479 0.165276
-0.202998 -0.053489 0.165272
-0.202980 -0.053492 0.165274
-0.202958 -0.053490 0.165278
-0.202939 -0.053486 0.165282
-0.202924 -0.053484 0.165286
-0.202918 -0.053481 0.165285
-0.202915 -0.053483 0.165281
-0.202918 -0.053487 0.165276
-0.202922 -0.053492 0.165270
-0.202923 -0.053493 0.165267
-0.202926 -0.053495 0.165263
-0.202923 -0.053501 0.165257
-0.202918 -0.053503 0.165254
-0.202911 -0.053506 0.165251
-0.202904 -0.053509 0.165247
-0.202895 -0.053515 0.165240
-0.202885 -0.053523 0.165232
-0.202867 -0.053534 0.165224
-0.202848 -0.053539 0.165216
-0.202829 -0.053548 0.165211
-0.202814 -0.053556 0.165206
-0.202788 -0.053568 0.165198
-0.202765 -0.053574 0.165194
-0.202745 -0.053578 0.165192
-0.202729 -0.053585 0.165188
-0.202718 -0.053592 0.165183
-0.202705 -0.053599 0.165178
-0.202689 -0.053603 0.165175
-0.202671 -0.053604 0.165174
-0.202653 -0.053606 0.165169
-0.202643 -0.053618 0.165158
-0.202637 -0.053632 0.165145
-0.202631 -0.053648 0.165132
-0.202615 -0.053664 0.165123
-0.202591 -0.053688 0.165113
-0.202549 -0.053717 0.165104
-0.202490 -0.053744 0.165101
-0.202447 -0.053774 0.165095
-0.202425 -0.053817 0.165080
-0.202418 -0.053868 0.165060
-0.202421 -0.053925 0.165039
-0.202420 -0.053976 0.165023
-0.202403 -0.054022 0.165010
-0.202379 -0.054056 0.165002
-0.202344 -0.054097 0.164991
-0.202317 -0.054126 0.164982
-0.202267 -0.054159 0.164973
-0.202223 -0.054182 0.164967
-0.202183 -0.054200 0.164964
-0.202134 -0.054216 0.164964
-0.202092 -0.054231 0.164965
-0.202070 -0.054253 0.164962
-0.202060 -0.054284 0.164955
-0.202056 -0.054316 0.164948
-0.202045 -0.054350 0.164939
-0.202026 -0.054387 0.164930
-0.201996 -0.054423 0.164919
-0.201965 -0.054451 0.164911
-0.201930 -0.054481 0.164903
-0.201897 -0.054504 0.164899
-0.201868 -0.054520 0.164896
-0.201840 -0.054532 0.164894
-0.201817 -0.054538 0.164895
-0.201797 -0.054541 0.164897
-0.201787 -0.054548 0.164895
-0.201783 -0.054555 0.164892
-0.201777 -0.054562 0.164889
-0.201767 -0.054572 0.164885
-0.201754 -0.054581 0.164881
-0.201739 -0.054587 0.164879
-0.201717 -0.054594 0.164877
-0.201698 -0.054601 0.164875
-0.201695 -0.054601 0.164875
-0.201655 -0.054610 0.164872
-0.201630 -0.054615 0.164871
-0.201609 -0.054622 0.164869
-0.201592 -0.054626 0.164868
-0.201575 -0.054629 0.164866
-0.201560 -0.054631 0.164865
-0.201547 -0.054630 0.164866
-0.201537 -0.054629 0.164866
-0.201531 -0.054629 0.164865
-0.201525 -0.054626 0.164866
-0.201520 -0.054623 0.164867
-0.201516 -0.054620 0.164869
-0.201511 -0.054616 0.164868
-0.201507 -0.054612 0.164870
-0.201499 -0.054606 0.164871
-0.201486 -0.054600 0.164871
-0.201474 -0.054597 0.164873
-0.201465 -0.054594 0.164873
-0.201457 -0.054592 0.164874
-0.201453 -0.054591 0.164875
-0.201440 -0.054590 0.164875
-0.201439 -0.054590 0.164875
