x y z
-0.203502 -0.054876 0.164477
-0.203502 -0.054875 0.164476
-0.203501 -0.054877 0.164481
-0.203501 -0.054877 0.164481
-0.203501 -0.054878 0.164483
-0.203501 -0.054879 0.164484
-0.203501 -0.054879 0.164482
-0.203503 -0.054880 0.164479
-0.203501 -0.054878 0.164480
-0.203502 -0.054877 0.164476
-0.203501 -0.054880 0.164479
-0.203502 -0.054876 0.164475
-0.203502 -0.054876 0.164474
-0.203502 -0.054879 0.164477
-0.203502 -0.054878 0.164477
-0.203502 -0.054880 0.164477
-0.203502 -0.054879 0.164477
-0.203500 -0.054876 0.164478
-0.203498 -0.054873 0.164480
-0.203494 -0.054867 0.164483
-0.203491 -0.054863 0.164485
-0.203489 -0.054854 0.164489
-0.203489 -0.054851 0.164491
-0.203484 -0.054840 0.164498
-0.203482 -0.054829 0.164504
-0.203482 -0.054821 0.164510
-0.203479 -0.054813 0.164516
-0.203478 -0.054805 0.164520
-0.203476 -0.054794 0.164527
-0.203474 -0.054785 0.164533
-0.203473 -0.054772 0.164539
-0.203471 -0.054762 0.164545
-0.203470 -0.054750 0.164552
-0.203465 -0.054738 0.164562
-0.203457 -0.054728 0.164573
-0.203450 -0.054717 0.164582
-0.203442 -0.054698 0.164593
-0.203438 -0.054683 0.164602
-0.203433 -0.054666 0.164612
-0.203429 -0.054651 0.164623
-0.203425 -0.054637 0.164632
-0.203421 -0.054617 0.164643
-0.203416 -0.054595 0.164654
-0.203411 -0.054579 0.164663
-0.203400 -0.054557 0.164676
-0.203390 -0.054539 0.164690
-0.203383 -0.054519 0.164701
-0.203377 -0.054503 0.164710
-0.203373 -0.054485 0.164717
-0.203368 -0.054458 0.164729
-0.203363 -0.054440 0.164739
-0.203354 -0.054419 0.164748
-0.203347 -0.054396 0.164758
-0.203337 -0.054373 0.164768
-0.203327 -0.054353 0.164779
-0.203319 -0.054332 0.164792
-0.203311 -0.054312 0.164805
-0.203305 -0.054292 0.164817
-0.203301 -0.054270 0.164828
-0.203296 -0.054251 0.164838
-0.203292 -0.054232 0.164850
-0.203287 -0.054215 0.164862
-0.203279 -0.054198 0.164873
-0.203272 -0.054180 0.164884
-0.203262 -0.054161 0.164895
-0.203255 -0.054144 0.164903
-0.203250 -0.054129 0.164912
-0.203247 -0.054111 0.164922
-0.203246 -0.054096 0.164932
-0.203245 -0.054084 0.164938
-0.203244 -0.054065 0.164948
-0.203239 -0.054052 0.164959
-0.203234 -0.054038 0.164969
-0.203228 -0.054022 0.164981
-0.203223 -0.054009 0.164993
-0.203216 -0.053996 0.165006
-0.203214 -0.053981 0.165016
-0.203211 -0.053966 0.165025
-0.203210 -0.053945 0.165035
-0.203207 -0.053931 0.165043
-0.203204 -0.053912 0.165054
-0.203200 -0.053901 0.165061
-0.203194 -0.053880 0.165073
-0.203190 -0.053863 0.165080
-0.203184 -0.053846 0.165089
-0.203181 -0.053829 0.165097
-0.203178 -0.053811 0.165106
-0.203177 -0.053793 0.165115
-0.203177 -0.053779 0.165124
-0.203178 -0.053764 0.165132
-0.203177 -0.053753 0.165139
-0.203175 -0.053736 0.165147
-0.203172 -0.053722 0.165154
-0.203168 -0.053707 0.165159
-0.203164 -0.053696 0.165163
-0.203161 -0.053683 0.165169
-0.203159 -0.053671 0.165174
-0.203157 -0.053660 0.165179
-0.203154 -0.053649 0.165187
-0.203147 -0.053635 0.165192
-0.203140 -0.053622 0.165196
-0.203133 -0.053609 0.165198
-0.203127 -0.053594 0.165202
-0.203123 -0.053584 0.165204
-0.203116 -0.053567 0.165208
-0.203112 -0.053554 0.165210
-0.203107 -0.053543 0.165214
-0.203100 -0.053534 0.165217
-0.203093 -0.053526 0.165220
-0.203085 -0.053514 0.165223
-0.203079 -0.053506 0.165225
-0.203073 -0.053502 0.165226
-0.203066 -0.053494 0.165227
-0.203062 -0.053485 0.165229
-0.203058 -0.053479 0.165230
-0.203058 -0.053472 0.165231
-0.203058 -0.053471 0.165230
-0.203059 -0.053468 0.165229
-0.203058 -0.053468 0.165228
-0.203058 -0.053468 0.165226
-0.203058 -0.053468 0.165224
-0.203052 -0.053463 0.165220
-0.203048 -0.053464 0.165219
-0.203045 -0.053461 0.165217
-0.203042 -0.053462 0.165218
-0.203036 -0.053465 0.165221
-0.203034 -0.053467 0.165223
-0.203028 -0.053468 0.165223
-0.203018 -0.053470 0.165224
-0.203003 -0.053473 0.165228
-0.202992 -0.053473 0.165231
-0.202982 -0.053476 0.165233
-0.202968 -0.053478 0.165235
-0.202958 -0.053478 0.165237
-0.202945 -0.053479 0.165236
-0.202941 -0.053480 0.165235
-0.202937 -0.053479 0.165229
-0.202930 -0.053478 0.165215
-0.202926 -0.053478 0.165211
-0.202913 -0.053478 0.165201
-0.202908 -0.053480 0.165197
-0.202890 -0.053479 0.165184
-0.202878 -0.053477 0.165175
-0.202870 -0.053483 0.165168
-0.202863 -0.053485 0.165163
-0.202859 -0.053487 0.165159
-0.202853 -0.053488 0.165153
-0.202845 -0.053490 0.165146
-0.202842 -0.053490 0.165142
-0.202833 -0.053490 0.165132
-0.202824 -0.053490 0.165121
-0.202823 -0.053491 0.165118
-0.202809 -0.053498 0.165103
-0.202798 -0.053501 0.165093
-0.202782 -0.053509 0.165085
-0.202763 -0.053507 0.165078
-0.202742 -0.053519 0.165072
-0.202734 -0.053522 0.165069
-0.202701 -0.053531 0.165057
-0.202683 -0.053538 0.165051
-0.202668 -0.053546 0.165044
-0.202642 -0.053549 0.165035
-0.202618 -0.053564 0.165022
-0.202600 -0.053569 0.165012
-0.202571 -0.053575 0.165007
-0.202555 -0.053584 0.165003
-0.202530 -0.053597 0.164997
-0.202508 -0.053607 0.164992
-0.202478 -0.053617 0.164983
-0.202461 -0.053627 0.164978
-0.202425 -0.053651 0.164967
-0.202388 -0.053674 0.164959
-0.202342 -0.053704 0.164956
-0.202309 -0.053730 0.164956
-0.202272 -0.053763 0.164954
-0.202262 -0.053782 0.164955
-0.202244 -0.053813 0.164946
-0.202236 -0.053837 0.164939
-0.202228 -0.053880 0.164929
-0.202211 -0.053918 0.164918
-0.202202 -0.053965 0.164913
-0.202177 -0.054021 0.164902
-0.202166 -0.054046 0.164896
-0.202126 -0.054121 0.164887
-0.202102 -0.054161 0.164885
-0.202074 -0.054191 0.164885
-0.202028 -0.054238 0.164890
-0.201991 -0.054272 0.164891
-0.201969 -0.054291 0.164889
-0.201942 -0.054319 0.164885
-0.201930 -0.054330 0.164882
-0.201906 -0.054350 0.164882
-0.201880 -0.054367 0.164884
-0.201850 -0.054389 0.164887
-0.201821 -0.054409 0.164887
-0.201795 -0.054430 0.164882
-0.201772 -0.054450 0.164873
-0.201743 -0.054475 0.164862
-0.201720 -0.054490 0.164855
-0.201700 -0.054503 0.164851
-0.201680 -0.054514 0.164848
-0.201666 -0.054524 0.164843
-0.201659 -0.054530 0.164838
-0.201656 -0.054533 0.164834
-0.201650 -0.054537 0.164830
-0.201643 -0.054539 0.164828
-0.201639 -0.054541 0.164827
-0.201628 -0.054543 0.164826
-0.201609 -0.054548 0.164827
-0.201595 -0.054552 0.164829
-0.201584 -0.054553 0.164830
-0.201563 -0.054555 0.164830
-0.201548 -0.054555 0.164830
-0.201533 -0.054560 0.164829
-0.201519 -0.054559 0.164826
-0.201506 -0.054560 0.164823
-0.201499 -0.054559 0.164822
-0.201490 -0.054558 0.164820
-0.201478 -0.054557 0.164818
-0.201462 -0.054557 0.164818
-0.201457 -0.054557 0.164818
-0.201443 -0.054557 0.164819
-0.201435 -0.054558 0.164819
-0.201426 -0.054555 0.164820
-0.201418 -0.054550 0.164820
-0.201410 -0.054547 0.164820
-0.201404 -0.054545 0.164820
-0.201399 -0.054544 0.164821
-0.201394 -0.054541 0.164823
-0.201387 -0.054536 0.164823
-0.201378 -0.054532 0.164825
-0.201370 -0.054529 0.164826
-0.201365 -0.054524 0.164827
-0.201361 -0.054520 0.164827
-0.201354 -0.054516 0.164828
-0.201344 -0.054514 0.164829
-0.201334 -0.054512 0.164832
-0.201326 -0.054510 0.164834
-0.201318 -0.054508 0.164836
-0.201312 -0.054509 0.164839
-0.201310 -0.054511 0.164841
-0.201308 -0.054513 0.164842
-0.201308 -0.054513 0.164845
-0.201308 -0.054512 0.164844
-0.201308 -0.054516 0.164846
-0.201311 -0.054518 0.164847
-0.201312 -0.054521 0.164850
-0.201309 -0.054525 0.164853
-0.201308 -0.054527 0.164856
-0.201309 -0.054528 0.164859
-0.201306 -0.054530 0.164862
-0.201306 -0.054530 0.164864
-0.201307 -0.054529 0.164866
-0.201307 -0.054529 0.164869
-0.201306 -0.054527 0.164871
-0.201306 -0.054525 0.164873
-0.201303 -0.054520 0.164875
-0.201295 -0.054512 0.164879
-0.201291 -0.054505 0.164881
-0.201288 -0.054500 0.164882
-0.201290 -0.054500 0.164884
-0.201290 -0.054496 0.164884
-0.201290 -0.054496 0.164885
-0.201290 -0.054493 0.164885
-0.201288 -0.054492 0.164885
-0.201286 -0.054489 0.164885
-0.201286 -0.054489 0.164885
-0.201284 -0.054487 0.164887
-0.201285 -0.054485 0.164888
-0.201287 -0.054481 0.164889
-0.201291 -0.054478 0.164891
-0.201291 -0.054474 0.164892
-0.201294 -0.054472 0.164893
-0.201297 -0.054465 0.164894
-0.201297 -0.054461 0.164894
-0.201297 -0.054454 0.164894
-0.201297 -0.054450 0.164894
-0.201297 -0.054449 0.164894
-0.201297 -0.054446 0.164895
-0.201298 -0.054443 0.164894
-0.201298 -0.054443 0.164896
-0.201297 -0.054442 0.164897
-0.201297 -0.054442 0.164897
-0.201296 -0.054442 0.164897
-0.201294 -0.054443 0.164899
-0.201293 -0.054444 0.164899
-0.201291 -0.054445 0.164901
-0.201291 -0.054445 0.164900
-0.201290 -0.054447 0.164899
-0.201290 -0.054448 0.164899
-0.201289 -0.054454 0.164899
-0.201289 -0.054458 0.164899
-0.201289 -0.054459 0.164899
-0.201289 -0.054461 0.164899
-0.201289 -0.054463 0.164901
-0.201290 -0.054465 0.164901
-0.201290 -0.054467 0.164902
-0.201292 -0.054468 0.164905
-0.201294 -0.054466 0.164908
-0.201296 -0.054467 0.164909
-0.201299 -0.054464 0.164910
-0.201300 -0.054463 0.164909
-0.201301 -0.054461 0.164909
-0.201303 -0.054457 0.164908
-0.201303 -0.054458 0.164910
-0.201304 -0.054455 0.164910
-0.201305 -0.054456 0.164911
-0.201305 -0.054454 0.164912
-0.201307 -0.054454 0.164914
-0.201308 -0.054452 0.164913
-0.201309 -0.054451 0.164913
-0.201308 -0.054450 0.164913
-0.201307 -0.054450 0.164912
-0.201306 -0.054452 0.164911
-0.201304 -0.054453 0.164911
-0.201304 -0.054454 0.164911
-0.201301 -0.054457 0.164915
-0.201300 -0.054459 0.164917
-0.201299 -0.054462 0.164920
-0.201298 -0.054461 0.164920
-0.201298 -0.054463 0.164922
-0.201298 -0.054462 0.164922
-0.201298 -0.054462 0.164922
-0.201297 -0.054462 0.164922
-0.201297 -0.054463 0.164922
-0.201299 -0.054463 0.164925
-0.201300 -0.054465 0.164928
-0.201301 -0.054464 0.164930
-0.201304 -0.054465 0.164931
-0.201308 -0.054466 0.164933
-0.201314 -0.054465 0.164934
-0.201317 -0.054464 0.164935
-0.201319 -0.054463 0.164934
-0.201323 -0.054466 0.164934
-0.201324 -0.054465 0.164934
-0.201324 -0.054464 0.164933
-0.201326 -0.054464 0.164932
-0.201323 -0.054464 0.164932
-0.201319 -0.054465 0.164932
-0.201318 -0.054465 0.164933
-0.201316 -0.054464 0.164934
-0.201316 -0.054462 0.164934
-0.201314 -0.054461 0.164934
-0.201313 -0.054460 0.164934
-0.201312 -0.054457 0.164933
-0.201312 -0.054452 0.164932
-0.201311 -0.054450 0.164931
-0.201313 -0.054450 0.164929
-0.201318 -0.054448 0.164926
-0.201324 -0.054447 0.164925
-0.201327 -0.054446 0.164924
-0.201329 -0.054447 0.164924
-0.201330 -0.054449 0.164923
-0.201332 -0.054450 0.164923
-0.201331 -0.054449 0.164923
-0.201332 -0.054451 0.164923
-0.201333 -0.054451 0.164922
-0.201332 -0.054450 0.164920
-0.201334 -0.054449 0.164918
-0.201336 -0.054450 0.164918
-0.201339 -0.054448 0.164916
-0.201345 -0.054446 0.164916
-0.201351 -0.054446 0.164916
-0.201352 -0.054443 0.164916
-0.201356 -0.054441 0.164918
-0.201364 -0.054434 0.164921
-0.201367 -0.054431 0.164925
-0.201372 -0.054429 0.164927
-0.201375 -0.054428 0.164928
-0.201375 -0.054427 0.164928
-0.201376 -0.054426 0.164927
-0.201375 -0.054426 0.164927
-0.201376 -0.054425 0.164928
-0.201377 -0.054423 0.164930
-0.201381 -0.054424 0.164931
-0.201383 -0.054424 0.164933
-0.201383 -0.054423 0.164933
-0.201390 -0.054422 0.164936
-0.201394 -0.054422 0.164935
-0.201403 -0.054422 0.164935
-0.201412 -0.054423 0.164934
-0.201417 -0.054424 0.164934
-0.201424 -0.054424 0.164933
-0.201429 -0.054425 0.164932
-0.201434 -0.054427 0.164932
-0.201438 -0.054430 0.164933
-0.201442 -0.054431 0.164933
-0.201444 -0.054434 0.164935
-0.201445 -0.054435 0.164935
-0.201448 -0.054434 0.164935
-0.201451 -0.054436 0.164934
-0.201452 -0.054434 0.164934
-0.201450 -0.054430 0.164936
-0.201448 -0.054427 0.164936
-0.201448 -0.054423 0.164936
-0.201449 -0.054418 0.164936
-0.201449 -0.054415 0.164938
-0.201450 -0.054412 0.164939
-0.201450 -0.054409 0.164940
-0.201451 -0.054406 0.164941
-0.201452 -0.054405 0.164941
-0.201452 -0.054405 0.164943
-0.201452 -0.054406 0.164945
-0.201452 -0.054408 0.164946
-0.201452 -0.054409 0.164947
-0.201452 -0.054408 0.164947
-0.201450 -0.054408 0.164947
-0.201448 -0.054410 0.164946
-0.201448 -0.054411 0.164947
-0.201448 -0.054412 0.164946
-0.201446 -0.054413 0.164946
-0.201445 -0.054414 0.164946
-0.201444 -0.054414 0.164948
