x y z
-0.070224 -0.113913 0.402959
-0.155743 -0.167728 0.380817
-0.102669 -0.155007 0.392277
-0.102688 -0.057930 0.415272
-0.050820 -0.074195 0.444699
-0.047172 -0.041541 0.471015
-0.011696 -0.052542 0.461721
0.001285 -0.025482 0.448216
-0.024616 -0.093809 0.508753
0.052379 -0.043571 0.512486
-0.006236 -0.018438 0.524076
0.007437 -0.067313 0.485061
-0.068327 -0.060539 0.492132
-0.104110 -0.106912 0.326999
-0.023624 -0.125704 0.339071
0.330973 0.026047 0.311621
0.549341 0.166101 0.413193
0.660114 0.207657 0.407147
0.670100 0.259026 0.427909
0.737188 0.322969 0.521039
0.801099 0.415986 0.486183
0.880698 0.454086 0.540492
0.836368 0.446302 0.546433
0.905441 0.410092 0.598056
0.979823 0.355350 0.600083
0.884282 0.392569 0.759255
0.968890 0.412788 0.683626
1.021636 0.334178 0.672340
0.987888 0.271243 0.658149
0.978008 0.260106 0.667838
0.859312 0.332290 0.718146
0.776554 0.293992 0.794434
0.715597 0.333254 0.808593
0.629060 0.382489 0.842444
0.621895 0.420657 0.805555
0.472090 0.473308 0.853768
0.414637 0.509229 0.953376
0.378414 0.478806 0.966281
0.341585 0.528980 1.022691
0.381236 0.517446 1.031221
0.419568 0.492279 1.048012
0.422344 0.502012 1.059546
0.413593 0.466238 1.038382
0.554680 0.432015 1.071488
0.574357 0.478904 1.045060
0.541408 0.487494 1.012423
0.493461 0.530537 1.022378
0.459234 0.524309 1.040959
0.449880 0.575998 1.076853
0.430760 0.571733 1.061719
0.442242 0.496086 1.122617
0.436048 0.477050 1.052357
0.348604 0.476676 0.982031
0.331529 0.470089 0.987823
0.364461 0.462755 0.957503
0.420483 0.465201 0.955813
0.315787 0.481679 0.939819
0.310865 0.477772 1.032550
0.449466 0.419125 0.897528
0.473724 0.424137 1.036137
0.524755 0.440112 1.028100
0.633886 0.467185 0.940066
0.614029 0.574470 1.025987
0.671899 0.580098 0.888014
0.722442 0.607362 0.972368
0.722494 0.640682 0.994721
0.739701 0.629763 0.974269
0.647466 0.550291 0.995734
0.635088 0.531334 1.016327
0.552522 0.424109 1.050960
0.618084 0.383912 0.944773
0.565844 0.351546 1.003627
0.478667 0.288923 1.000250
0.478618 0.292402 1.053065
0.457038 0.280777 1.039584
0.403276 0.246037 1.090006
0.413548 0.228196 1.060895
0.341591 0.246219 1.190408
0.396905 0.275616 1.213255
0.591257 0.253242 1.102692
0.585348 0.291268 1.088700
0.619353 0.334807 1.036013
0.606651 0.353073 1.125212
0.676178 0.397985 1.000160
0.770391 0.339174 1.017268
0.755168 0.346441 1.023623
0.860111 0.307812 0.954646
0.816076 0.321474 0.978868
0.854549 0.270463 0.952186
0.813815 0.335952 0.977642
0.868001 0.338538 0.958306
0.777196 0.432853 0.932741
0.689174 0.360557 0.931905
0.681031 0.419534 0.855352
0.588348 0.394843 0.915230
0.532799 0.408524 0.882304
0.463641 0.400564 0.897273
0.311935 0.339024 0.894966
0.266884 0.313381 0.994100
0.248113 0.261408 0.983409
0.143034 0.257805 1.028936
0.106363 0.284229 1.044921
0.163206 0.289449 0.902861
0.123332 0.295809 0.964172
0.117542 0.237080 0.950195
0.157936 0.201201 0.933411
0.350884 0.189503 0.860262
0.395999 0.141779 0.905879
0.504148 0.120987 0.834633
0.598391 0.103931 0.746661
0.676665 0.150585 0.704585
0.704113 0.253326 0.680995
0.835334 0.260073 0.600390
0.838171 0.212109 0.599151
0.919288 0.229854 0.630540
0.956648 0.154595 0.635192
0.901733 0.150798 0.687279
0.826851 0.093106 0.696980
0.659434 0.116961 0.688472
0.751849 0.021071 0.656015
0.599980 0.064219 0.745731
0.386719 0.000273 0.769863
0.234012 0.005719 0.731341
0.140756 -0.038969 0.698799
-0.044411 0.018612 0.671790
-0.240207 0.074143 0.676456
-0.383252 0.059823 0.646999
-0.619634 0.104532 0.743828
-0.496203 0.084315 0.652193
-0.424856 -0.019137 0.611771
-0.208040 -0.011977 0.599576
-0.095865 0.059382 0.636256
0.042677 0.023606 0.686831
0.201076 0.017281 0.625227
0.284654 -0.000489 0.693129
0.347134 -0.002392 0.748125
0.487279 -0.136373 0.728611
0.519724 -0.239049 0.805190
0.602813 -0.281306 0.541475
0.645736 -0.328314 0.527889
0.440151 -0.390962 0.462864
0.360611 -0.415367 0.312005
0.258656 -0.388479 0.204072
0.099505 -0.477777 0.301228
-0.178785 -0.478451 0.325484
-0.109791 -0.798089 0.368139
-0.045344 -0.896110 0.430002
0.076050 -1.009613 0.380810
0.026748 -1.122302 0.423085
0.185613 -1.127533 0.322690
0.109382 -1.092211 0.255871
-0.163978 -0.960333 0.116906
-0.317884 -0.811866 0.080301
-0.363715 -0.860266 0.022710
-0.426361 -0.810838 0.032838
-0.380485 -0.755325 -0.101308
-0.510243 -0.725918 -0.047184
-0.474725 -0.728716 -0.141131
-0.349876 -0.767418 -0.178526
-0.195775 -0.797065 -0.266321
-0.382515 -0.857572 -0.200129
-0.392465 -0.923921 -0.229365
-0.540328 -1.040474 -0.171173
-0.356178 -1.229061 -0.123136
-0.394176 -1.397245 0.017223
-0.487387 -1.476997 0.037210
-0.524198 -1.558709 0.114725
-0.647981 -1.516571 0.153417
-0.670428 -1.548119 0.217039
-0.592075 -1.464012 0.164195
-0.448358 -1.392616 0.159793
-0.267214 -1.354043 0.143895
-0.019709 -1.313629 0.007973
0.351310 -1.297882 -0.006830
0.573862 -1.153503 -0.081274
0.764564 -1.043206 -0.025175
0.964308 -0.909017 0.089823
1.135644 -0.868100 -0.004947
1.083890 -0.828499 0.156489
0.999621 -0.819437 0.094426
0.600699 -0.750409 0.209019
0.162130 -0.709642 0.162658
-0.155428 -0.730371 0.160983
-0.542888 -0.809638 0.326962
-0.691457 -0.902052 0.498907
-0.661716 -1.036871 0.540819
-0.731719 -1.046156 0.739930
-0.633148 -1.133157 0.765844
-0.552286 -1.111938 0.780950
-0.346444 -0.986036 0.853118
-0.145133 -0.909719 0.902037
-0.006427 -0.858217 0.856819
0.266725 -0.688800 0.774176
0.416102 -0.577221 0.614611
0.390378 -0.377407 0.626737
0.550733 -0.309240 0.539231
0.653229 -0.314951 0.502690
0.630875 -0.484328 0.549821
0.512445 -0.679580 0.659277
0.431876 -0.922669 0.687675
0.463172 -1.159159 0.826666
0.505472 -1.288234 0.820966
0.430162 -1.327699 0.828749
0.324613 -1.266106 0.924256
0.208692 -1.244381 0.856923
0.101468 -1.149648 0.860660
0.109407 -1.079768 0.801272
-0.062427 -0.907901 0.674807
-0.104445 -0.848138 0.568635
-0.181161 -0.691962 0.589401
-0.212665 -0.597365 0.390147
-0.167121 -0.447286 0.384823
-0.161956 -0.392028 0.332171
-0.122771 -0.388400 0.342601
-0.057140 -0.421928 0.379464
0.088666 -0.393405 0.416080
0.124988 -0.465118 0.361468
0.142611 -0.550781 0.342362
0.270185 -0.600550 0.304241
0.227888 -0.684015 0.394143
0.204190 -0.820939 0.435053
0.272215 -0.942632 0.415056
0.215787 -1.016328 0.507148
0.207522 -1.105481 0.567852
0.158991 -1.090848 0.583775
0.028590 -1.141518 0.626080
0.075140 -1.175523 0.569323
-0.002312 -1.081473 0.571470
-0.008376 -1.094604 0.525376
-0.139974 -0.995334 0.486306
-0.186025 -0.925583 0.551921
-0.288245 -0.829004 0.517541
-0.366524 -0.726325 0.521391
-0.265019 -0.659438 0.415327
-0.255851 -0.644145 0.456663
-0.143981 -0.608259 0.376636
-0.073107 -0.555310 0.462069
-0.042559 -0.570740 0.340339
0.018408 -0.585532 0.376356
0.124726 -0.529438 0.316297
0.284812 -0.578544 0.375249
0.378987 -0.654208 0.429048
0.419601 -0.670085 0.515813
0.476409 -0.702717 0.522667
0.463197 -0.690409 0.487419
0.323542 -0.686416 0.533112
0.209692 -0.681915 0.567255
0.107446 -0.689314 0.534793
0.025088 -0.609994 0.591913
-0.054921 -0.651878 0.624916
-0.118791 -0.564833 0.621987
-0.253370 -0.520516 0.655279
-0.242736 -0.498364 0.583052
-0.302034 -0.497778 0.642161
-0.346572 -0.475335 0.727448
-0.318211 -0.552795 0.746815
-0.247864 -0.540796 0.631729
-0.120405 -0.401534 0.660322
-0.103562 -0.355086 0.629685
0.030273 -0.389264 0.567976
0.018304 -0.390922 0.501703
0.103565 -0.308073 0.459926
0.160427 -0.366498 0.493979
0.142098 -0.330521 0.476316
0.161665 -0.335780 0.421949
0.096173 -0.398745 0.416767
0.145623 -0.453563 0.385128
0.112589 -0.487759 0.426794
0.094610 -0.498539 0.472627
0.106716 -0.504998 0.456210
0.107392 -0.547631 0.471616
0.003333 -0.588582 0.483978
0.017875 -0.568561 0.486378
0.055743 -0.519478 0.480844
0.004961 -0.444005 0.463580
0.020628 -0.490358 0.497991
0.019873 -0.436979 0.539107
0.108842 -0.453896 0.356198
0.139703 -0.413184 0.434638
0.144243 -0.390698 0.366222
0.096367 -0.402694 0.386837
0.021072 -0.360384 0.373369
0.035336 -0.237946 0.242455
0.038782 -0.290419 0.326394
-0.036426 -0.214723 0.372132
0.018426 -0.321733 0.375091
0.037638 -0.276995 0.480335
0.045713 -0.283807 0.366068
0.035370 -0.340989 0.394632
0.094550 -0.403151 0.405430
0.184861 -0.390682 0.409515
0.168553 -0.388676 0.412773
0.155623 -0.440229 0.411217
0.120917 -0.477438 0.481564
0.093562 -0.437981 0.582404
0.169730 -0.515700 0.460621
0.079999 -0.555981 0.548324
0.155231 -0.531532 0.588111
0.055348 -0.568306 0.638151
-0.001339 -0.548460 0.694621
-0.013990 -0.515721 0.690607
-0.015304 -0.531202 0.706595
0.150027 -0.528147 0.626699
0.172813 -0.455981 0.642877
0.155691 -0.415343 0.687714
0.213381 -0.458186 0.628585
0.248290 -0.354173 0.553720
0.202953 -0.324412 0.620571
0.274039 -0.237839 0.550961
0.232526 -0.285922 0.565218
0.163759 -0.257959 0.545455
0.213846 -0.227319 0.571889
0.178584 -0.220584 0.586652
0.076197 -0.207962 0.572626
0.114683 -0.232482 0.611340
0.098992 -0.234447 0.564134
0.112590 -0.180982 0.540183
0.079113 -0.302609 0.582512
0.099375 -0.335554 0.650601
0.191732 -0.297831 0.637329
0.305760 -0.368154 0.647628
0.316778 -0.360871 0.710708
0.335097 -0.391917 0.673445
0.344904 -0.358352 0.731779
0.378314 -0.372133 0.720044
0.303532 -0.382514 0.754033
0.422424 -0.407971 0.695676
0.472834 -0.413968 0.719397
0.549559 -0.474061 0.721581
0.448521 -0.454568 0.796656
0.513670 -0.451280 0.735687
0.401089 -0.387429 0.734163
0.354322 -0.434309 0.794148
0.378224 -0.196807 0.715193
0.209634 -0.260387 0.811758
0.209187 -0.204998 0.699216
0.119666 -0.157007 0.773460
0.091654 -0.119520 0.667336
-0.089133 -0.103419 0.779644
-0.031023 -0.116353 0.686288
-0.094928 -0.103445 0.721748
0.015343 -0.124532 0.726566
0.049454 -0.166418 0.699288
0.236621 -0.251953 0.705300
0.372593 -0.213397 0.688880
0.344697 -0.246383 0.744648
0.496039 -0.252830 0.657161
0.576876 -0.240273 0.667049
0.556051 -0.208427 0.636294
0.554101 -0.249794 0.617296
0.512502 -0.263220 0.586003
0.475387 -0.259342 0.531739
0.499251 -0.226014 0.528127
0.265876 -0.220255 0.603249
0.312109 -0.184618 0.538911
0.201643 -0.203223 0.554446
0.187103 -0.160907 0.497606
0.216435 -0.160948 0.547920
0.286714 -0.220738 0.596418
0.165442 -0.232999 0.582391
0.274257 -0.301291 0.530680
0.208559 -0.458269 0.580849
0.237495 -0.542009 0.639080
0.264871 -0.517708 0.602223
0.193905 -0.594419 0.562938
0.081026 -0.535038 0.686149
0.048354 -0.532551 0.656606
-0.005924 -0.377908 0.597341
0.028193 -0.316228 0.547177
-0.035338 -0.222584 0.649380
0.028375 -0.167913 0.538899
0.046089 -0.095325 0.503555
0.050951 -0.022305 0.502646
0.267388 -0.077577 0.483750
0.306998 -0.122244 0.478495
0.414480 -0.169598 0.472667
0.465371 -0.194608 0.592854
0.538743 -0.186957 0.547483
0.663310 -0.276147 0.560678
0.619351 -0.254451 0.652449
0.746712 -0.384384 0.719388
0.761807 -0.364282 0.653434
0.786218 -0.418719 0.631291
0.587418 -0.326831 0.740864
0.427215 -0.260826 0.709421
0.427651 -0.247186 0.737283
0.314922 -0.312907 0.675522
0.287435 -0.233043 0.732515
0.073361 -0.190051 0.702368
0.170917 -0.139678 0.612782
0.143729 -0.155540 0.648945
0.158568 -0.134093 0.663329
0.052538 -0.204685 0.743603
0.099927 -0.192412 0.707474
-0.158875 -0.169612 0.906161
0.170380 -0.138941 0.627814
0.181238 -0.204154 0.663890
0.221217 -0.160797 0.691650
0.303616 -0.199928 0.717425
0.372396 -0.222369 0.648298
0.471355 -0.174306 0.598570
0.501956 -0.077813 0.582909
0.427617 -0.119862 0.609311
0.513815 -0.070081 0.618533
0.498003 -0.140648 0.603681
0.485563 -0.107846 0.627502
0.498068 -0.111836 0.616070
0.381041 -0.059660 0.700666
0.335098 -0.101001 0.574686
0.298399 -0.191611 0.649124
0.269823 -0.204762 0.736226
0.356291 -0.261155 0.707834
0.318709 -0.284532 0.833650
0.465210 -0.298809 0.724842
0.404737 -0.261512 0.771757
0.391612 -0.319363 0.833832
0.523695 -0.386318 0.918604
0.547934 -0.461055 0.828194
0.535293 -0.362657 0.900691
0.459283 -0.253426 0.851063
0.433549 -0.186071 0.824753
0.303033 -0.137943 0.796143
0.327688 0.001698 0.732623
0.256992 0.003892 0.770694
0.279892 0.105082 0.650244
0.241135 0.094573 0.678972
0.220687 0.136551 0.675156
0.220844 0.099632 0.702817
0.281607 0.079110 0.679371
0.412178 -0.121791 0.689431
0.481934 -0.141645 0.707703
0.544564 -0.190821 0.756960
0.587293 -0.311774 0.797421
0.629861 -0.349253 0.884719
0.665201 -0.387335 0.793681
0.734026 -0.443431 0.798351
0.753815 -0.431451 0.830317
0.631456 -0.378523 0.848372
0.624301 -0.305183 0.900830
0.637506 -0.306679 0.878870
0.694319 -0.308513 0.884123
0.539857 -0.147783 0.817521
0.534832 -0.116338 0.823274
0.422492 -0.107194 0.898991
0.437343 0.003272 0.815295
0.499879 -0.013929 0.799330
0.507228 -0.039218 0.769692
0.544476 -0.096702 0.833360
0.600999 -0.166154 0.848561
0.604936 -0.206237 0.876897
0.681933 -0.236922 0.773077
0.649709 -0.250328 0.839146
0.709939 -0.313926 0.808401
0.568838 -0.225280 0.850068
0.578025 -0.216458 0.738632
0.456156 -0.201841 0.739518
0.511898 -0.104503 0.782930
0.545935 -0.084851 0.680288
0.485664 -0.018161 0.623974
0.432061 0.041639 0.582248
0.409981 0.120329 0.563745
0.254219 0.075763 0.534135
0.335842 0.102163 0.535009
0.382667 -0.015738 0.607701
0.418989 0.031390 0.606644
0.416715 -0.062632 0.596968
0.523502 -0.122915 0.634667
0.479616 -0.214156 0.642466
0.434076 -0.250161 0.642833
0.507015 -0.270307 0.608622
0.515850 -0.259261 0.664333
0.406657 -0.378276 0.698185
0.356593 -0.350292 0.730191
0.333700 -0.289063 0.673006
0.273513 -0.258409 0.668088
0.251340 -0.257612 0.648303
0.292007 -0.213657 0.605656
0.218636 -0.157885 0.615809
0.267052 -0.185653 0.583862
0.229665 -0.177730 0.653703
0.288180 -0.239222 0.729540
0.304956 -0.271990 0.763096
0.496357 -0.286546 0.756948
0.400297 -0.349522 0.799506
0.545268 -0.350532 0.770242
0.530492 -0.414692 0.727749
0.530805 -0.319651 0.837933
0.497921 -0.303855 0.772974
0.622188 -0.255899 0.734359
0.546939 -0.221474 0.777865
0.523335 -0.157446 0.777609
0.499456 -0.182579 0.765446
0.568446 -0.107595 0.811402
0.645192 -0.050974 0.800224
0.558179 -0.031056 0.731462
0.477402 -0.011484 0.772281
0.569287 -0.037005 0.769279
0.631095 -0.059295 0.736896
0.541167 -0.092880 0.745724
0.702959 -0.156810 0.832322
0.678380 -0.224440 0.743197
0.611091 -0.156622 0.866935
0.584339 -0.221278 0.819454
0.584215 -0.208598 0.829394
0.587013 -0.245876 0.804845
0.529496 -0.218463 0.807309
0.550515 -0.239586 0.911932
0.556313 -0.222894 0.843590
0.471376 -0.226529 0.870127
0.310313 -0.170764 0.884402
0.358783 -0.157419 0.814045
0.359495 -0.147732 0.803906
0.353931 -0.134131 0.798663
0.441484 -0.035596 0.720652
0.216006 -0.018668 0.868760
0.422212 -0.038291 0.702026
0.551384 -0.089425 0.661065
0.588514 -0.116407 0.638746
0.588978 -0.173871 0.647085
0.554814 -0.234884 0.641239
0.503902 -0.221661 0.676291
0.535036 -0.222535 0.689259
0.509256 -0.282739 0.603116
0.516656 -0.296369 0.650611
0.537013 -0.283602 0.609777
0.611765 -0.243286 0.525813
0.556727 -0.279234 0.532646
0.496995 -0.126727 0.627165
0.195724 -0.142127 0.731189
0.406538 -0.141138 0.558152
0.333086 -0.043219 0.572803
0.358765 -0.047663 0.529846
0.334013 -0.044108 0.579141
0.372404 -0.016481 0.619550
0.438985 -0.112556 0.555916
0.493071 -0.128661 0.585447
0.414830 -0.128466 0.646393
0.622237 -0.219107 0.623445
0.654355 -0.201873 0.792917
0.668741 -0.197566 0.752821
0.680117 -0.171778 0.734881
0.778627 -0.208033 0.585902
0.626091 -0.186146 0.769361
0.706684 -0.148231 0.774400
0.680064 -0.064220 0.787917
0.711060 -0.086556 0.711961
0.645271 -0.026443 0.757014
0.578647 0.005101 0.792470
0.531244 0.020560 0.793226
0.580838 -0.003951 0.686299
0.517989 0.004905 0.788510
0.563683 -0.020135 0.849646
0.607932 -0.120990 0.874827
0.604107 -0.121893 0.857286
0.549546 -0.116127 0.929635
0.570514 -0.103863 0.910678
0.572228 -0.135977 0.902287
0.557948 -0.144549 0.900941
0.460278 -0.130801 0.943282
0.387215 -0.170792 0.975071
0.385750 -0.084102 0.836528
0.315422 -0.085895 0.837214
0.325008 -0.038844 0.823431
0.288172 0.039020 0.873953
0.228673 0.041229 0.948038
0.338839 0.058379 0.791779
0.303619 0.085874 0.829184
0.396844 0.031606 0.883093
0.563645 -0.053739 0.791039
0.714849 -0.110322 0.770650
0.534131 -0.155156 0.907682
0.633881 -0.126736 0.963571
0.742518 -0.170516 0.987186
0.924188 -0.207171 0.879740
0.863338 -0.186689 1.019419
0.850810 -0.141625 1.050352
0.909023 -0.110737 0.925633
0.805413 -0.013203 0.925120
0.701999 0.015643 0.885696
0.755549 0.026688 0.858136
0.820750 0.010989 0.819201
0.894074 0.048963 0.766841
0.896870 0.005933 0.823746
0.887912 -0.006236 0.847613
0.780176 -0.009823 0.891890
0.767128 -0.023287 0.776646
0.736126 -0.101707 0.805004
0.663781 -0.101160 0.914691
0.598311 -0.081063 0.957983
0.625785 -0.127561 0.846563
0.589123 -0.171153 0.983162
0.569572 -0.243701 0.983861
0.550126 -0.195545 0.981247
0.415491 -0.175511 1.033604
0.405867 -0.180205 1.008918
0.528443 -0.156566 0.933740
0.505950 -0.152052 0.936882
0.480197 -0.131160 0.906312
0.562601 -0.096531 0.967116
0.605768 -0.118153 0.904988
0.717433 -0.129598 0.872077
0.672995 -0.123956 0.943329
0.865074 -0.096083 0.880616
0.765472 -0.042965 1.047543
0.948942 -0.124797 0.942181
1.021966 -0.144531 0.976558
1.050461 -0.124734 0.904591
0.992898 -0.098139 0.914021
0.851616 -0.056571 0.925172
0.857229 -0.060804 0.923222
0.878515 0.001508 0.896002
0.860293 0.032787 0.884908
0.854468 0.024567 0.870288
0.900610 -0.022922 0.833411
0.834288 0.011614 0.956326
0.817374 -0.039997 0.945205
0.886752 -0.063213 0.920527
0.984301 -0.049295 1.002836
0.936702 -0.082609 0.950022
0.896110 -0.138386 0.973131
0.824222 -0.096897 1.033104
0.757834 -0.076483 1.011795
0.814819 -0.108071 0.930327
0.849299 -0.149442 0.912488
0.917427 -0.149085 1.047742
1.073690 -0.217388 0.934003
0.958595 -0.155104 1.117702
1.082054 -0.201302 1.053608
0.977248 -0.181369 1.022145
1.041173 -0.206780 0.970804
1.026496 -0.164954 0.967474
1.112052 -0.205485 1.042106
1.118155 -0.229326 1.038713
1.119262 -0.262111 1.062730
1.035844 -0.247367 1.085812
0.965167 -0.187216 1.114209
1.003054 -0.224864 0.960936
0.868583 -0.247440 1.047750
0.899767 -0.192495 1.022620
0.851808 -0.164083 0.952395
0.912217 -0.203529 0.864891
0.827269 -0.135348 0.855440
0.805334 -0.122153 0.907284
0.807274 -0.063797 0.804183
0.834980 -0.061633 0.812533
0.796096 -0.060237 0.697118
0.790226 -0.088017 0.736362
0.840489 -0.057147 0.648480
0.775928 -0.089563 0.729375
0.781133 -0.112584 0.689382
0.804582 -0.173503 0.690276
0.742611 -0.151218 0.724282
0.768316 -0.149559 0.784933
0.902475 -0.186705 0.654713
0.764069 -0.156681 0.787968
0.878808 -0.202925 0.635807
0.886018 -0.239287 0.664649
0.874714 -0.208136 0.698654
0.873377 -0.186663 0.747706
0.910287 -0.230024 0.621056
0.939271 -0.261308 0.727750
0.882740 -0.269031 0.785619
0.945948 -0.348161 0.740674
0.974395 -0.360097 0.818648
1.073691 -0.421194 0.780904
1.039502 -0.433545 0.838311
0.618239 -0.352620 1.216289
0.912802 -0.378991 0.814649
0.793350 -0.315772 0.817456
0.714343 -0.227831 0.827262
0.673111 -0.140749 0.793858
0.633522 -0.054029 0.812040
0.540389 -0.049069 0.789384
0.594766 -0.019219 0.780914
0.581047 0.077317 0.773971
0.636889 -0.027839 0.630927
0.575400 -0.092555 0.788248
0.680856 -0.143987 0.858966
0.706601 -0.155461 0.885297
0.802072 -0.211849 0.934712
0.792877 -0.227064 0.889968
0.783914 -0.204287 0.939584
0.849014 -0.311458 0.905977
0.769303 -0.263631 0.980154
0.732320 -0.183971 1.067516
0.739581 -0.163379 0.942679
0.789396 -0.120513 0.981113
0.794646 -0.066142 0.998255
0.779885 -0.021170 1.073038
0.841705 0.007186 0.927394
0.844624 0.028275 0.936855
0.838976 -0.016370 0.934203
0.793504 -0.062438 0.957743
0.840512 -0.139060 0.990466
0.897466 -0.211361 1.057016
0.822047 -0.201175 1.118898
0.763115 -0.283612 1.154917
0.765134 -0.308629 1.155689
0.640582 -0.243419 1.132822
0.672969 -0.223458 1.118714
0.645945 -0.120381 1.031519
0.529943 -0.052066 1.027772
0.437463 -0.017233 1.090011
0.529096 0.040406 0.984874
0.242902 0.089021 1.148704
0.504474 0.066026 0.910288
0.505560 0.086754 0.959839
0.533946 0.130961 0.963869
0.533524 0.059713 0.986400
0.654306 0.072066 0.976104
