x y z
0.017303 0.014936 0.012888
0.012859 0.019162 0.038253
-0.083340 0.024998 0.170640
-0.123231 0.038916 0.303307
-0.092267 0.041774 0.289069
-0.074559 0.086600 0.291044
-0.098751 0.145988 0.329736
-0.148350 0.116369 0.308471
-0.175444 0.122871 0.293982
-0.149096 0.168110 0.365110
-0.174718 0.166293 0.323573
-0.116009 0.123054 0.319263
-0.066331 0.126164 0.274685
-0.008292 0.075487 -0.038751
-0.018527 0.043877 -0.021329
-0.065544 0.060085 0.114112
-0.197253 0.066112 0.402827
-0.370958 0.061836 0.627057
-0.386449 0.112357 0.748868
-0.355704 0.088635 0.747179
-0.400922 0.126762 0.754882
-0.384459 0.153728 0.723772
-0.465567 0.374392 0.707836
-0.518604 0.388939 0.754019
-0.598613 0.439866 0.795595
-0.624722 0.414940 0.803592
-0.955255 0.511402 0.853672
-1.011953 0.452480 0.899338
-1.071099 0.403382 0.861468
-1.069622 0.418228 0.822537
-1.009893 0.333317 0.814701
-0.887496 0.361127 0.789888
-0.757805 0.376057 0.808798
-0.591874 0.448832 0.818212
-0.521301 0.430520 0.807264
-0.449107 0.400118 0.813610
-0.422375 0.313817 0.896267
-0.405589 0.258496 0.933422
-0.811493 0.165375 0.954960
-1.049428 0.136707 0.973711
-1.142760 0.102584 1.046105
-1.124240 0.125866 1.003464
-1.099649 0.063177 1.014397
-1.249114 0.323112 0.987571
-1.653802 0.529844 0.954492
-1.597181 0.544683 0.873894
-1.260317 0.377612 0.905639
-1.121893 0.229153 0.929804
-1.090292 0.199244 0.942710
-1.145444 0.154217 0.893187
-1.167114 0.187269 0.873218
-1.056811 0.201037 0.901568
-1.021105 0.191230 0.914791
-0.819713 0.380801 0.908463
-0.754978 0.337060 0.921297
-0.787816 0.301979 0.953025
-0.898550 0.274818 0.952197
-1.148997 0.345804 0.906838
-1.225886 0.378464 0.933828
-1.173029 0.519208 0.863661
-1.172473 0.519816 0.824667
-1.126845 0.504388 0.817591
-0.771231 0.478494 0.831481
-0.550476 0.431273 0.826956
-0.405866 0.414290 0.883816
-0.394513 0.433827 0.900753
-0.618057 0.337870 0.946525
-0.745338 0.219290 1.019517
-0.863318 0.178564 1.034003
-1.083799 0.044110 1.113067
-1.242013 0.023090 1.122884
-1.456795 -0.034391 1.156243
-1.576632 -0.043062 1.163738
-1.507865 -0.025531 1.079032
-1.426672 0.005518 1.104097
-1.224305 0.024189 1.052207
-1.040297 0.037438 1.063333
-0.965558 0.045779 1.051662
-0.919838 0.112273 1.039437
-0.953399 0.120245 1.019894
-0.932901 0.051001 0.952481
-0.958903 0.027506 0.905539
-0.914917 0.040939 0.874054
-0.894477 0.020913 0.796706
-0.858427 0.079054 0.717691
-0.735245 0.086819 0.658217
-0.661660 0.110870 0.554498
-0.644564 0.075530 0.535618
-0.768654 0.087596 0.544234
-0.734318 -0.006717 0.475550
-0.710212 -0.052832 0.391115
-0.740539 -0.075493 0.408251
-0.719258 -0.112091 0.354036
-0.659101 -0.143730 0.354970
-0.800628 -0.147102 0.326343
-0.923558 -0.083664 0.361817
-1.271512 -0.095936 0.311181
-1.371032 -0.206467 0.329634
-1.609082 -0.300501 0.381299
-1.651792 -0.329124 0.372645
-1.626545 -0.316918 0.394872
-1.386035 -0.213536 0.350259
-1.104063 -0.161526 0.379322
-0.886227 -0.155653 0.366168
-0.673561 -0.265548 0.376327
-0.639228 -0.273178 0.317165
-0.776478 -0.330043 0.270957
-1.064120 -0.338110 0.298927
-1.358477 -0.362555 0.323594
-1.673820 -0.406510 0.335119
-1.973444 -0.496045 0.206810
-1.960170 -0.533018 0.153808
-1.544007 -0.419253 -0.036636
-1.098211 -0.223076 -0.189994
-0.757222 -0.164926 -0.298382
-0.189488 -0.091988 -0.409983
0.064720 -0.090935 -0.420588
0.327406 -0.076893 -0.436243
0.281063 -0.352908 -0.263215
0.091853 -0.579571 -0.143992
-0.722005 -0.943955 -0.037615
-1.638442 -1.138603 0.171525
-1.823305 -1.224264 0.163432
-2.095212 -1.254977 0.256400
-2.079276 -1.170004 0.206139
-1.860670 -0.973717 0.162318
-0.730905 -0.635313 -0.115563
-0.241897 -0.662758 -0.344720
0.139526 -0.733572 -0.513530
0.369703 -0.851808 -0.537888
0.461854 -0.970053 -0.524583
0.369978 -1.326140 -0.518017
-0.189374 -1.840162 -0.308261
-0.678403 -1.925453 -0.062735
-0.955576 -1.609988 0.082098
-0.800231 -1.062020 -0.007246
-0.511973 -0.993037 -0.124751
-0.089288 -1.083919 -0.333635
0.133171 -1.152389 -0.411330
0.230406 -1.214148 -0.550421
0.208597 -1.074068 -0.604385
0.309511 -1.067123 -0.545402
0.445051 -0.987496 -0.549649
0.498171 -0.764064 -0.462026
0.598710 -0.759220 -0.453221
0.741462 -0.937788 -0.435457
1.712648 -1.358573 -0.342870
2.724298 -1.587126 -0.309016
2.530511 -1.386165 -0.452814
1.566774 -0.925092 -0.543292
1.096793 -0.572303 -0.508427
2.168834 -0.538975 -0.271492
2.140218 -0.613768 -0.140725
1.375925 -0.625198 -0.060509
