Column1 Column2 Column3
0.014726 -0.111082 0.012131
0.053447 -0.067352 0.085605
0.124550 0.026583 0.195386
0.159261 -0.015855 0.176165
0.145977 0.060747 0.234343
0.125696 -0.012318 0.162612
0.131789 -0.001754 0.193169
0.241345 0.000324 0.301450
0.346264 -0.013347 0.381290
0.207087 -0.167755 -0.087371
0.282828 -0.020449 0.116197
0.201368 -0.017733 0.128965
0.218511 0.024086 0.150158
0.231825 -0.021373 0.144257
0.171793 -0.093350 0.050269
0.079757 -0.138147 -0.121777
0.085236 -0.186063 -0.130763
0.103476 -0.182366 -0.160130
0.332735 0.195240 0.278177
0.274125 0.265214 0.393115
0.360926 0.409430 0.587927
0.369133 0.447732 0.713019
0.386790 0.407753 0.759912
1.138267 0.089649 0.942647
1.340306 0.276058 1.017411
1.356426 0.585542 0.934284
1.350040 0.691086 0.955507
1.443816 0.700374 0.903754
1.508083 0.636634 0.921061
1.617336 0.525568 0.837986
1.808953 0.277021 0.719117
2.030114 -0.000610 0.578155
2.165246 -0.271708 0.426581
2.001369 -0.301551 0.203758
1.743619 -0.325718 0.026915
1.567016 -0.317744 -0.152837
1.299248 -0.411803 -0.314347
0.590881 -0.532967 -0.664626
0.495259 -0.571265 -0.714961
0.390086 -0.614454 -0.745500
0.277947 -0.645571 -0.815361
0.210745 -0.663572 -0.791723
-0.016485 -0.351407 -0.766431
-0.193491 -0.254814 -0.752466
-0.267439 -0.150641 -0.692801
-0.362063 -0.129812 -0.602171
-0.370182 -0.235187 -0.488690
-0.288746 -0.324120 -0.457269
-0.220678 -0.349809 -0.393177
-0.043305 -0.325886 -0.313467
0.117313 -0.280654 -0.263043
0.139592 -0.248580 -0.208692
0.139592 -0.248580 -0.208692
0.258572 -0.211722 -0.116094
0.457244 -0.179049 -0.077092
0.576864 -0.121204 -0.018701
0.796314 -0.162039 0.008373
1.053714 -0.200584 0.026112
1.252350 -0.278066 -0.021675
1.511475 -0.396177 -0.050090
1.610767 -0.322082 -0.063793
1.610767 -0.322082 -0.063793
1.726728 -0.302742 -0.104641
2.100109 -0.399862 -0.138899
2.365960 -0.452697 -0.126807
2.535593 -0.332751 -0.204997
2.505892 -0.238344 -0.226172
2.386867 -0.130696 -0.257223
2.125272 -0.075131 -0.283252
1.870272 -0.054670 -0.408795
1.563832 -0.112649 -0.497427
1.295416 -0.077724 -0.574173
1.094699 -0.141190 -0.602351
0.834878 -0.046743 -0.641221
0.819160 -0.047477 -0.668344
0.660681 -0.018263 -0.618790
0.468079 0.104890 -0.577662
-0.070785 0.351908 -0.469110
-0.401194 0.494750 -0.436319
-0.442855 0.568193 -0.370234
-1.032395 0.857577 -0.238200
-1.449923 0.922872 -0.237650
-1.541047 0.899945 -0.245815
-1.416701 0.818535 -0.240246
-1.368394 0.812881 -0.227777
-1.267261 0.811817 -0.137262
-1.201163 0.902798 -0.053930
-0.797345 0.967753 0.209682
-0.357666 0.837952 0.282401
0.456166 0.482799 0.289835
1.048411 0.237794 0.301067
1.373169 0.160562 0.272290
1.409976 0.102450 0.279424
2.198832 -0.210708 0.265620
2.561204 -0.416058 0.216838
2.661453 -0.483402 0.222299
3.178351 -0.769988 0.163980
3.372952 -0.916856 0.106911
3.575516 -1.084698 0.032394
3.644283 -1.276368 -0.015357
3.667347 -1.401232 -0.094370
3.634207 -1.455879 -0.112146
3.382316 -1.515708 -0.152791
2.995595 -1.529669 -0.226601
2.502521 -1.616549 -0.293519
2.129464 -1.623469 -0.329453
1.713279 -1.555189 -0.385962
1.166992 -1.394674 -0.392007
0.501586 -1.148064 -0.356830
-0.064559 -0.977779 -0.371779
-0.657009 -0.818682 -0.397244
-1.262392 -0.683548 -0.446623
-1.828262 -0.510685 -0.433980
-2.520717 -0.176400 -0.438063
-3.013466 0.107121 -0.363556
-3.578049 0.409648 -0.311023
-3.954225 0.708400 -0.311746
-3.954225 0.708400 -0.311746
-3.954225 0.708400 -0.311746
-4.300115 0.951864 -0.267333
-4.405532 1.305442 -0.243083
-4.318912 1.422594 -0.250105
-4.235608 1.671396 -0.195109
-4.106284 1.742910 -0.165348
-4.016251 1.814025 -0.165507
-2.566885 2.009486 0.087954
-1.735554 1.946173 0.227874
-0.299771 1.610374 0.339819
1.285871 1.102493 0.292793
2.323184 0.748747 0.264599
2.690203 0.605533 0.221362
4.278068 -0.169412 0.057579
5.214021 -0.725757 -0.107244
6.005402 -1.167969 -0.348516
6.594932 -1.676409 -0.638632
6.797290 -2.038525 -0.771729
6.737264 -2.368200 -0.940202
6.622623 -2.410075 -0.973433
6.306400 -2.597602 -1.084350
5.223114 -2.871795 -1.236884
4.611286 -2.948660 -1.279071
3.869559 -2.964621 -1.231907
2.860654 -2.875340 -1.195406
1.887645 -2.760849 -1.194611
0.851246 -2.555439 -1.157578
0.520927 -2.471996 -1.127904
-1.821276 -1.855249 -1.026613
-3.076964 -1.461743 -1.008045
-4.808206 -0.799192 -0.959635
-5.284501 -0.541967 -0.954209
-6.641627 0.211365 -0.869631
-7.728984 0.988803 -0.670168
-8.232882 1.556476 -0.477318
-8.512859 2.327656 -0.251420
-8.368803 2.843584 -0.022603
-8.303114 2.900450 -0.037716
-7.663755 3.554283 0.408309
-6.679578 3.797228 0.632231
-5.461827 4.085736 1.016211
-4.282046 4.145947 1.290021
-3.975470 4.151364 1.343746
-1.399438 3.661739 1.634801
-0.026752 3.310709 1.733916
1.404923 2.867734 1.756961
1.888617 2.701128 1.758381
4.821359 1.654800 1.467541
7.345026 0.398941 0.639790
8.841855 -0.648578 0.028607
9.097979 -0.905978 -0.154094
10.439974 -2.763574 -1.169081
10.564889 -3.101256 -1.393402
10.489214 -4.707311 -2.325073
